date,temperature,max_temperature,min_temperature,precipitation,humidity,wind_speed,solar_radiation
2021-01-01,16.61,21.28,13.44,0.0,71.51,2.41,3.51
2021-01-02,17.1,21.77,13.56,0.0,76.06,2.57,3.2546
2021-01-03,17.25,22.67,13.85,0.0,81.02,2.51,3.1934
2021-01-04,17.25,22.45,13.6,0.0,80.47,1.76,3.1932
2021-01-05,17.84,23.25,14.76,0.0,83.66,1.76,3.0451
2021-01-06,17.36,22.15,14.14,0.0,85.1,1.93,1.7782
2021-01-07,17.9,24.97,13.74,0.0,83.07,2.05,3.1298
2021-01-08,17.56,24.04,14.02,0.0,80.69,1.65,3.3394
2021-01-09,17.27,23.11,13.95,0.0,82.51,2.02,3.2866
2021-01-10,18.05,24.43,14.22,0.0,75.31,1.95,3.1507
2021-01-11,18.17,25.53,13.79,0.12,71.94,2.71,3.4802
2021-01-12,17.63,25.69,10.84,0.07,61.98,2.84,2.5032
2021-01-13,16.75,20.13,13.94,0.06,59.87,5.25,2.0035
2021-01-14,15.33,18.48,13.17,3.71,69.71,5.55,2.3724
2021-01-15,14.15,18.45,11.32,0.14,65.74,3.19,3.1493
2021-01-16,14.4,19.02,10.5,0.23,66.56,4.92,2.8298
2021-01-17,14.19,17.71,10.74,2.71,69.59,6.17,2.1259
2021-01-18,13.89,17.27,11.45,0.14,61.9,4.85,2.9381
2021-01-19,12.8,16.02,10.45,5.91,75.72,4.64,2.2262
2021-01-20,13.0,16.48,9.52,0.74,61.97,5.09,3.5842
2021-01-21,12.66,17.8,9.33,0.0,66.25,2.58,2.6143
2021-01-22,13.4,18.97,8.24,0.0,70.25,2.95,2.7526
2021-01-23,13.9,19.59,9.89,0.0,69.19,2.48,3.5419
2021-01-24,14.4,19.27,11.42,0.0,66.9,1.83,3.8498
2021-01-25,14.7,20.51,10.73,0.0,61.01,1.27,4.0834
2021-01-26,14.48,21.53,7.81,0.0,63.29,2.21,3.7246
2021-01-27,15.26,21.17,11.51,0.11,57.94,4.59,3.559
2021-01-28,13.35,16.49,11.32,0.64,62.86,4.4,2.7091
2021-01-29,13.42,16.23,11.39,0.68,63.58,4.74,3.1762
2021-01-30,13.87,18.95,8.81,0.0,65.18,5.33,4.1328
2021-01-31,15.8,22.17,10.97,0.0,59.07,3.62,4.2737
2021-02-01,17.17,25.35,10.75,0.0,48.49,2.22,4.5334
2021-02-02,17.02,25.65,9.5,0.09,59.18,1.89,3.6557
2021-02-03,16.75,24.54,10.77,0.11,56.93,2.17,3.3461
2021-02-04,17.11,20.92,15.2,1.85,79.28,4.47,3.3766
2021-02-05,16.36,20.5,13.4,0.0,77.38,3.88,4.1635
2021-02-06,16.39,21.78,13.17,0.0,76.89,1.94,3.175
2021-02-07,16.37,22.35,12.55,0.0,71.77,1.11,4.4042
2021-02-08,15.92,23.79,10.4,0.0,56.98,2.57,2.1708
2021-02-09,16.82,25.47,11.08,0.0,59.09,2.58,4.3296
2021-02-10,16.04,22.7,12.16,0.0,69.36,2.18,4.8122
2021-02-11,15.87,24.08,10.0,0.0,69.29,1.93,4.6882
2021-02-12,15.39,22.85,10.21,0.0,75.4,2.19,4.65
2021-02-13,15.31,21.14,11.41,0.0,67.91,1.84,4.0834
2021-02-14,14.63,20.13,11.43,0.0,66.58,1.63,4.7911
2021-02-15,15.6,21.99,10.68,0.12,63.25,2.33,4.7834
2021-02-16,11.7,13.77,9.61,17.67,74.45,5.93,1.6675
2021-02-17,10.66,11.96,9.53,7.11,61.82,7.98,2.9998
2021-02-18,12.55,15.98,10.31,0.82,64.37,4.07,4.1712
2021-02-19,12.82,16.6,9.87,11.81,77.74,3.08,4.2233
2021-02-20,13.4,17.86,9.78,0.07,66.38,2.79,3.6926
2021-02-21,14.36,18.79,11.52,0.53,63.89,1.73,4.2173
2021-02-22,12.94,18.44,7.9,0.93,71.54,2.18,2.5934
2021-02-23,13.92,17.21,11.64,3.75,78.14,4.46,2.2634
2021-02-24,15.06,19.8,11.55,0.01,73.35,4.13,4.8749
2021-02-25,15.53,21.63,11.71,0.01,78.27,3.15,4.6586
2021-02-26,14.85,19.73,11.42,0.0,72.65,1.85,4.6435
2021-02-27,15.12,20.75,11.14,0.0,76.83,3.08,5.2423
2021-02-28,14.95,19.81,10.81,0.0,77.62,3.13,4.8787
2021-03-01,15.54,20.27,11.48,0.0,67.16,3.7,5.1506
2021-03-02,14.39,18.64,10.87,0.08,65.22,4.26,4.5379
2021-03-03,13.66,16.18,12.05,2.98,64.56,4.85,4.0937
2021-03-04,14.86,19.48,11.65,0.44,68.8,3.85,5.5318
2021-03-05,14.62,20.57,10.7,0.01,71.68,2.3,5.5543
2021-03-06,14.17,21.61,8.34,0.27,72.13,2.16,6.0101
2021-03-07,14.82,21.62,9.92,0.15,72.17,2.53,5.8762
2021-03-08,15.73,22.39,11.36,1.14,70.74,1.89,5.7382
2021-03-09,17.3,26.15,9.63,1.62,60.36,3.2,4.6822
2021-03-10,19.04,27.94,13.87,2.13,52.86,4.44,5.5039
2021-03-11,17.33,22.09,14.82,3.84,78.57,4.55,4.4556
2021-03-12,15.3,19.27,11.93,0.01,60.06,5.55,5.1996
2021-03-13,14.41,19.42,10.88,0.0,67.35,2.62,5.3131
2021-03-14,15.81,21.86,11.43,0.0,71.0,2.39,4.3106
2021-03-15,16.07,21.25,11.48,0.0,76.81,2.36,5.0386
2021-03-16,15.79,20.6,12.47,0.01,71.12,2.94,6.0641
2021-03-17,15.19,20.81,9.46,1.16,68.39,3.87,6.126
2021-03-18,15.4,20.63,12.01,3.12,68.86,2.89,5.7646
2021-03-19,15.98,22.01,11.85,111.64,64.39,2.01,6.275
2021-03-20,18.63,25.81,11.96,0.01,62.67,2.94,5.587
2021-03-21,19.41,25.05,13.32,24.24,74.06,2.6,3.9758
2021-03-22,21.34,25.29,18.8,0.0,62.9,2.77,2.5351
2021-03-23,18.52,21.03,13.73,0.0,67.43,5.32,4.2914
2021-03-24,14.37,17.38,11.95,1.25,69.08,5.87,4.4942
2021-03-25,13.59,16.33,11.41,2.35,73.43,3.67,4.3246
2021-03-26,12.74,16.26,9.66,0.57,66.77,4.07,6.1157
2021-03-27,13.46,17.88,8.75,2.8,60.67,3.87,5.2298
2021-03-28,14.74,17.85,12.59,7.28,64.92,3.37,6.2129
2021-03-29,14.61,18.88,11.42,2.39,66.96,3.45,6.4966
2021-03-30,15.32,19.81,12.11,6.68,71.22,3.63,6.2722
2021-03-31,13.92,17.6,11.2,15.91,70.71,3.37,5.4713
2021-04-01,13.9,18.24,9.47,0.74,70.51,4.52,5.8699
2021-04-02,14.59,18.43,11.55,0.0,72.17,4.05,6.336
2021-04-03,15.3,21.37,10.3,0.0,65.88,2.11,6.8614
2021-04-04,17.77,26.25,9.4,0.0,58.4,2.31,6.3823
2021-04-05,18.91,28.99,10.68,0.0,55.45,2.66,6.503
2021-04-06,20.99,30.99,11.93,0.0,58.8,2.0,6.7752
2021-04-07,18.25,23.36,14.26,0.0,73.04,3.19,5.8562
2021-04-08,16.65,22.32,12.61,0.0,75.23,3.08,6.6499
2021-04-09,15.52,20.59,12.07,0.0,72.13,4.67,6.3492
2021-04-10,14.1,17.58,11.49,0.0,51.59,6.88,7.0862
2021-04-11,14.25,18.93,10.71,0.0,61.09,4.62,6.1594
2021-04-12,14.65,20.05,10.12,0.0,65.08,3.23,6.7442
2021-04-13,15.28,21.67,10.85,0.0,69.26,2.24,6.5189
2021-04-14,16.69,23.47,9.83,0.0,66.22,2.41,6.5566
2021-04-15,19.21,28.52,10.8,0.0,61.17,2.68,6.9298
2021-04-16,22.4,33.01,13.57,0.01,51.13,2.98,6.6974
2021-04-17,23.71,33.21,14.97,0.0,45.88,3.22,6.7793
2021-04-18,26.26,38.16,16.33,0.0,43.46,2.68,6.3684
2021-04-19,22.95,27.7,18.18,0.25,57.02,3.48,5.3484
2021-04-20,19.11,24.05,14.38,0.11,69.01,4.55,6.7366
2021-04-21,17.41,22.56,13.62,0.0,70.1,3.8,7.3735
2021-04-22,17.52,23.37,13.24,0.0,68.18,3.72,7.7362
2021-04-23,18.19,25.9,11.88,0.0,65.95,3.07,7.0733
2021-04-24,20.12,29.32,13.0,0.0,61.43,2.12,7.745
2021-04-25,21.27,31.69,14.38,0.0,58.8,4.64,7.1191
2021-04-26,18.69,22.87,15.01,0.0,72.73,4.97,7.0726
2021-04-27,18.45,24.78,13.55,0.0,64.69,2.55,7.835
2021-04-28,21.0,30.65,12.59,0.0,60.81,2.69,7.0627
2021-04-29,23.42,34.04,14.84,0.0,57.85,3.41,7.6238
2021-04-30,24.4,35.43,16.61,0.0,55.28,2.86,7.5564
2021-05-01,24.85,34.2,17.47,0.0,47.53,2.2,7.3805
2021-05-02,24.87,33.0,19.29,0.0,47.56,2.25,7.457
2021-05-03,26.17,35.56,18.89,0.0,50.03,1.96,7.5
2021-05-04,27.61,36.8,20.64,0.0,44.0,2.63,7.1669
2021-05-05,25.94,34.99,19.94,0.0,60.06,2.71,7.1695
2021-05-06,25.44,34.24,19.48,0.0,54.93,1.69,7.1213
2021-05-07,25.81,34.1,19.13,0.0,53.73,2.26,7.4026
2021-05-08,29.8,40.35,18.84,0.0,36.76,2.81,6.3058
2021-05-09,25.02,28.35,19.78,0.0,58.04,3.61,4.5792
2021-05-10,22.73,29.17,18.12,0.0,68.71,3.93,7.4695
2021-05-11,21.79,28.59,16.88,0.0,63.16,3.4,7.8658
2021-05-12,21.31,27.93,16.49,0.0,61.41,2.56,8.219
2021-05-13,22.29,30.16,16.62,0.0,54.67,1.86,8.1252
2021-05-14,23.17,31.64,16.16,0.0,52.16,2.56,7.9625
2021-05-15,24.28,32.66,17.29,0.0,52.57,2.6,7.9315
2021-05-16,24.21,33.4,17.84,0.0,53.83,3.58,7.8094
2021-05-17,22.29,27.45,18.32,0.0,63.16,3.82,7.9217
2021-05-18,23.28,30.53,17.68,0.0,61.22,2.55,8.1338
2021-05-19,24.63,32.59,17.92,0.0,58.54,2.56,8.2166
2021-05-20,24.43,32.05,18.55,0.0,58.12,2.64,8.3762
2021-05-21,23.26,30.41,18.22,0.0,63.19,3.76,7.8912
2021-05-22,21.3,25.34,18.0,0.0,60.65,4.99,7.3426
2021-05-23,21.93,27.26,17.72,0.0,63.35,4.58,7.8288
2021-05-24,23.81,31.61,17.16,0.0,62.36,3.1,8.376
2021-05-25,24.9,33.11,17.71,0.0,58.66,2.84,8.0863
2021-05-26,25.2,33.18,18.22,0.0,60.18,2.66,8.2085
2021-05-27,25.72,33.87,18.82,0.0,61.22,3.1,8.0064
2021-05-28,23.94,30.2,19.08,0.0,64.59,4.23,7.7064
2021-05-29,23.94,30.12,18.61,0.0,63.06,2.99,8.1312
2021-05-30,27.91,38.0,18.03,0.0,39.92,2.46,7.788
2021-05-31,25.96,31.18,20.33,0.0,52.92,4.41,7.9469
2021-06-01,24.34,30.65,19.02,0.0,59.8,3.26,7.7806
2021-06-02,23.45,29.03,19.15,0.0,60.42,3.35,8.2159
2021-06-03,22.61,28.39,17.96,0.0,57.4,3.8,8.1718
2021-06-04,22.43,27.46,17.93,0.0,61.46,4.54,7.9142
2021-06-05,23.18,28.75,18.57,0.0,62.41,4.44,8.1686
2021-06-06,22.58,27.61,18.11,0.0,60.42,4.05,7.5365
2021-06-07,23.01,28.9,17.69,0.0,59.74,3.51,8.4036
2021-06-08,25.31,33.12,18.22,0.0,54.03,2.59,8.0436
2021-06-09,26.94,36.22,20.24,0.0,50.59,3.96,7.9121
2021-06-10,24.78,31.01,20.24,0.0,66.85,3.41,7.4208
2021-06-11,25.56,32.46,20.17,0.0,58.56,2.74,7.5893
2021-06-12,26.13,32.91,20.53,0.0,56.77,3.74,6.6578
2021-06-13,25.17,31.22,20.59,0.0,60.18,3.84,8.1098
2021-06-14,24.2,29.53,19.34,0.0,65.25,3.42,7.4762
2021-06-15,24.07,30.32,19.34,0.0,64.56,3.07,8.0227
2021-06-16,23.84,29.18,19.89,0.0,63.26,3.87,8.0827
2021-06-17,23.96,29.87,18.62,0.0,58.76,3.24,8.3162
2021-06-18,24.63,30.68,19.22,0.0,57.88,2.92,8.5008
2021-06-19,25.83,32.44,20.15,0.0,52.56,2.44,8.1662
2021-06-20,26.27,32.56,21.16,0.0,51.15,2.32,8.052
2021-06-21,26.93,33.71,20.94,0.0,58.44,2.78,7.6661
2021-06-22,27.12,32.95,22.32,0.0,57.01,2.34,7.8403
2021-06-23,27.49,33.82,22.25,0.0,58.7,2.82,7.6126
2021-06-24,27.82,34.8,21.7,0.0,64.35,3.59,7.9906
2021-06-25,27.33,33.23,22.69,0.0,70.11,4.04,7.8379
2021-06-26,28.68,35.49,22.35,0.0,63.93,3.13,7.8017
2021-06-27,28.94,35.9,23.19,0.0,66.35,3.82,7.8816
2021-06-28,29.11,35.98,23.06,0.0,63.8,3.95,8.0602
2021-06-29,28.35,35.51,22.66,0.0,65.19,3.8,7.9752
2021-06-30,28.99,36.27,22.38,0.0,61.81,2.99,8.0623
2021-07-01,29.55,36.92,22.98,0.0,57.63,3.34,7.8542
2021-07-02,30.52,38.73,22.79,0.0,52.64,3.26,7.4971
2021-07-03,28.13,34.31,23.73,0.0,65.64,4.79,7.878
2021-07-04,27.5,32.7,23.15,0.0,62.77,4.57,8.1996
2021-07-05,27.5,32.7,22.95,0.0,57.62,4.1,8.1264
2021-07-06,27.94,34.23,22.18,0.0,59.92,2.75,7.4419
2021-07-07,28.05,34.79,22.14,0.0,62.67,3.09,7.9608
2021-07-08,28.46,34.7,23.13,0.0,64.11,2.97,7.9421
2021-07-09,28.32,34.67,23.0,0.0,67.85,3.42,7.493
2021-07-10,28.02,33.65,23.9,0.0,67.28,4.07,7.6786
2021-07-11,28.35,34.18,23.47,0.0,64.5,3.3,7.931
2021-07-12,28.01,34.28,23.03,0.0,60.1,3.16,8.1242
