date,temperature
2024-01-01,18.12
2024-01-02,18.11
2024-01-03,17.74
2024-01-04,17.96
2024-01-05,18.1
2024-01-06,18.65
2024-01-07,18.65
2024-01-08,16.82
2024-01-09,16.26
2024-01-10,16.42
2024-01-11,16.68
2024-01-12,16.8
2024-01-13,15.92
2024-01-14,16.06
2024-01-15,16.13
2024-01-16,15.5
2024-01-17,16.6
2024-01-18,17.04
2024-01-19,16.67
2024-01-20,18.2
2024-01-21,18.08
2024-01-22,17.23
2024-01-23,17.07
2024-01-24,16.3
2024-01-25,16.68
2024-01-26,16.63
2024-01-27,15.84
2024-01-28,15.12
2024-01-29,14.88
2024-01-30,14.0
2024-01-31,13.21
2024-02-01,13.46
2024-02-02,15.02
2024-02-03,15.01
2024-02-04,14.76
2024-02-05,15.24
2024-02-06,16.11
2024-02-07,15.8
2024-02-08,16.14
2024-02-09,16.46
2024-02-10,16.01
2024-02-11,16.97
2024-02-12,17.75
2024-02-13,17.22
2024-02-14,15.71
2024-02-15,14.76
2024-02-16,15.65
2024-02-17,16.03
2024-02-18,16.18
2024-02-19,16.42
2024-02-20,16.06
2024-02-21,15.66
2024-02-22,16.17
2024-02-23,16.37
2024-02-24,17.15
2024-02-25,16.89
2024-02-26,17.35
2024-02-27,17.43
2024-02-28,17.6
2024-02-29,18.1
2024-03-01,19.23
2024-03-02,18.29
2024-03-03,17.0
2024-03-04,16.6
2024-03-05,17.97
2024-03-06,17.49
2024-03-07,17.11
2024-03-08,16.92
2024-03-09,16.29
2024-03-10,16.23
2024-03-11,16.91
2024-03-12,18.42
2024-03-13,18.25
2024-03-14,17.16
2024-03-15,16.9
2024-03-16,17.09
2024-03-17,17.61
2024-03-18,17.43
2024-03-19,17.43
2024-03-20,18.23
2024-03-21,17.39
2024-03-22,16.34
2024-03-23,16.5
2024-03-24,16.14
2024-03-25,17.02
2024-03-26,18.46
2024-03-27,20.12
2024-03-28,21.04
2024-03-29,19.39
2024-03-30,19.35
2024-03-31,20.74
2024-04-01,20.88
2024-04-02,20.7
2024-04-03,20.73
2024-04-04,20.9
2024-04-05,19.35
2024-04-06,19.79
2024-04-07,19.96
2024-04-08,19.27
2024-04-09,18.28
2024-04-10,19.66
2024-04-11,19.7
2024-04-12,19.89
2024-04-13,19.99
2024-04-14,20.07
2024-04-15,20.59
2024-04-16,21.03
2024-04-17,24.69
2024-04-18,21.62
2024-04-19,19.42
2024-04-20,20.65
2024-04-21,19.37
2024-04-22,20.52
2024-04-23,22.65
2024-04-24,25.86
2024-04-25,22.72
2024-04-26,21.21
2024-04-27,20.81
2024-04-28,20.72
2024-04-29,20.41
2024-04-30,21.04
2024-05-01,21.21
2024-05-02,20.78
2024-05-03,21.7
2024-05-04,21.42
2024-05-05,20.54
2024-05-06,20.84
2024-05-07,20.43
2024-05-08,20.56
2024-05-09,22.6
2024-05-10,23.87
2024-05-11,22.12
2024-05-12,21.13
2024-05-13,20.88
2024-05-14,21.09
2024-05-15,21.04
2024-05-16,22.07
2024-05-17,23.58
2024-05-18,24.53
2024-05-19,24.35
2024-05-20,25.7
2024-05-21,24.48
2024-05-22,25.14
2024-05-23,25.31
2024-05-24,23.78
2024-05-25,23.63
2024-05-26,24.2
2024-05-27,24.27
2024-05-28,22.77
2024-05-29,22.32
2024-05-30,22.53
2024-05-31,24.2
2024-06-01,25.33
2024-06-02,25.38
2024-06-03,25.35
2024-06-04,25.9
2024-06-05,26.68
2024-06-06,27.57
2024-06-07,28.69
2024-06-08,26.94
2024-06-09,26.09
2024-06-10,26.38
2024-06-11,26.66
2024-06-12,27.46
2024-06-13,28.11
2024-06-14,29.07
2024-06-15,29.12
2024-06-16,27.17
2024-06-17,26.79
2024-06-18,25.95
2024-06-19,26.67
2024-06-20,27.51
2024-06-21,28.25
2024-06-22,28.18
2024-06-23,28.27
2024-06-24,28.03
2024-06-25,27.56
2024-06-26,26.77
2024-06-27,27.8
2024-06-28,27.54
2024-06-29,27.42
2024-06-30,27.54
2024-07-01,28.24
2024-07-02,27.97
2024-07-03,28.73
2024-07-04,28.47
2024-07-05,27.45
2024-07-06,27.36
2024-07-07,28.56
2024-07-08,28.79
2024-07-09,28.94
2024-07-10,29.42
2024-07-11,30.01
2024-07-12,29.9
2024-07-13,29.82
2024-07-14,29.26
2024-07-15,29.28
2024-07-16,28.57
2024-07-17,28.23
2024-07-18,28.0
2024-07-19,29.07
2024-07-20,30.08
2024-07-21,29.97
2024-07-22,30.09
2024-07-23,29.68
2024-07-24,29.43
2024-07-25,29.88
2024-07-26,29.33
2024-07-27,28.72
2024-07-28,29.64
2024-07-29,29.57
2024-07-30,29.34
2024-07-31,29.64
2024-08-01,29.06
2024-08-02,29.07
2024-08-03,28.69
2024-08-04,28.89
2024-08-05,28.27
2024-08-06,28.55
2024-08-07,29.0
2024-08-08,29.06
2024-08-09,29.62
2024-08-10,28.69
2024-08-11,28.84
2024-08-12,29.02
2024-08-13,28.9
2024-08-14,28.91
2024-08-15,29.29
2024-08-16,29.07
2024-08-17,29.68
2024-08-18,29.34
2024-08-19,28.9
2024-08-20,28.15
2024-08-21,28.79
2024-08-22,28.93
2024-08-23,28.54
2024-08-24,29.23
2024-08-25,29.41
2024-08-26,29.79
2024-08-27,28.94
2024-08-28,28.78
2024-08-29,28.8
2024-08-30,29.29
2024-08-31,29.11
2024-09-01,28.84
2024-09-02,29.1
2024-09-03,28.6
2024-09-04,28.29
2024-09-05,28.85
2024-09-06,28.44
2024-09-07,29.16
2024-09-08,29.27
2024-09-09,28.34
2024-09-10,28.72
2024-09-11,30.84
