date,temperature,temp_max,temp_min,precipitation,humidity,wind_speed,cloud_cover
2024-01-01,10.4,14.35,5.78,5.57,83.23,4.38,81.75
2024-01-02,8.62,12.26,3.67,0.0,77.19,2.93,32.55
2024-01-03,10.92,14.84,6.85,3.94,79.67,4.0,57.32
2024-01-04,11.14,17.4,6.55,0.0,72.56,4.41,41.09
2024-01-05,7.36,10.89,2.22,8.14,70.63,3.8,91.58
2024-01-06,8.19,12.25,3.61,14.47,86.43,4.86,100.0
2024-01-07,10.03,13.62,6.16,0.0,77.84,5.85,30.31
2024-01-08,9.44,13.27,4.78,4.52,80.72,3.24,73.54
2024-01-09,9.81,15.17,5.13,0.0,74.94,3.18,21.69
2024-01-10,8.72,12.94,3.32,7.74,85.32,3.29,82.5
2024-01-11,10.96,16.17,7.03,0.0,67.87,5.27,37.43
2024-01-12,10.83,16.1,6.76,0.0,72.7,4.82,25.26
2024-01-13,9.9,15.95,4.87,0.0,69.97,3.88,32.9
2024-01-14,11.28,14.79,7.01,29.75,90.51,4.01,56.26
2024-01-15,10.42,16.48,5.58,27.88,86.03,3.33,91.12
2024-01-16,10.365,14.06,4.55,15.57,70.63,4.69,70.75
2024-01-17,10.31,14.3,6.77,0.0,68.07,3.67,34.58
2024-01-18,8.59,14.41,3.73,4.03,80.97,3.76,62.88
2024-01-19,10.99,17.06,7.67,15.43,79.26,4.46,73.01
2024-01-20,9.8,14.07,6.31,9.63,74.98,3.81,76.64
2024-01-21,9.65,15.9,5.08,5.68,91.31,3.77,79.86
2024-01-22,10.585,13.89,4.15,0.0,77.13,3.97,40.76
2024-01-23,11.52,16.83,6.28,17.2,83.93,4.59,97.27
2024-01-24,9.75,16.21,6.07,21.81,78.07,5.27,88.79
2024-01-25,9.43,14.01,6.15,0.0,79.12,4.41,46.55
2024-01-26,10.085,15.5,4.17,0.0,73.58,4.58,52.35
2024-01-27,10.74,15.19,7.35,5.79,80.03,3.78,86.84
2024-01-28,10.56,16.45,7.06,0.0,78.47,3.37,34.56
2024-01-29,10.66,15.96,6.93,0.0,67.24,4.45,47.11
2024-01-30,10.72,14.87,6.4,18.55,89.34,4.06,92.88
2024-01-31,12.99,17.73,7.78,0.0,76.23,2.78,42.78
2024-02-01,9.72,14.17,4.82,0.0,81.68,3.65,17.54
2024-02-02,9.63,13.36,4.86,0.0,69.85,3.84,24.9
2024-02-03,9.29,12.88,5.85,0.0,70.57,3.49,31.7
2024-02-04,11.2,15.74,7.3,0.0,69.33,5.08,44.36
2024-02-05,11.92,15.48,7.72,1.85,82.34,4.27,79.74
2024-02-06,10.36,14.36,6.99,0.0,75.37,4.98,48.64
2024-02-07,9.48,15.15,5.79,0.0,72.67,4.09,50.78
2024-02-08,9.56,15.18,5.79,0.0,69.87,3.94,49.39
2024-02-09,11.54,17.25,8.22,0.0,68.55,3.11,49.47
2024-02-10,11.73,16.18,7.35,16.87,80.58,3.87,67.56
2024-02-11,11.53,17.7,6.77,0.0,72.43,3.86,40.79
2024-02-12,10.03,15.31,6.86,8.43,77.27,2.75,72.71
2024-02-13,11.27,15.15,7.07,0.0,82.37,3.4,15.21
2024-02-14,11.2,15.13,6.24,0.0,74.16,3.57,31.55
2024-02-15,11.41,16.99,6.54,0.0,80.85,4.15,50.9
2024-02-16,12.33,16.35,7.3,0.0,71.76,4.18,40.53
