date,temperature_mean,temperature_max,temperature_min,precipitation,rain,wind_speed_max,month,month_name,season
2022-01-01,13.1,18.3,8.7,0.2,0.2,13.8,1,Jan,Winter
2022-01-02,13.5,19.4,8.8,0.6,0.6,9.5,1,Jan,Winter
2022-01-03,14.7,20.6,10.3,0.0,0.0,9.8,1,Jan,Winter
2022-01-04,14.3,19.5,10.5,0.0,0.0,11.5,1,Jan,Winter
2022-01-05,14.5,20.3,10.3,0.0,0.0,8.2,1,Jan,Winter
2022-01-06,13.4,20.4,7.8,0.0,0.0,9.5,1,Jan,Winter
2022-01-07,13.2,19.6,7.4,0.0,0.0,8.4,1,Jan,Winter
2022-01-08,13.3,21.9,6.8,0.0,0.0,10.5,1,Jan,Winter
2022-01-09,13.4,18.1,8.9,0.0,0.0,20.9,1,Jan,Winter
2022-01-10,12.6,17.4,8.3,0.0,0.0,18.9,1,Jan,Winter
2022-01-11,13.7,20.2,8.4,0.0,0.0,20.0,1,Jan,Winter
2022-01-12,14.5,20.1,10.2,0.0,0.0,19.3,1,Jan,Winter
2022-01-13,13.6,19.7,8.6,0.0,0.0,21.8,1,Jan,Winter
2022-01-14,12.6,16.1,9.7,0.2,0.2,19.3,1,Jan,Winter
2022-01-15,11.7,16.9,8.1,0.0,0.0,19.2,1,Jan,Winter
2022-01-16,12.5,18.0,8.9,0.6,0.6,20.5,1,Jan,Winter
2022-01-17,10.6,15.8,5.8,0.0,0.0,19.5,1,Jan,Winter
2022-01-18,10.3,16.2,5.2,0.0,0.0,11.2,1,Jan,Winter
2022-01-19,10.7,14.4,8.3,3.2,3.2,18.9,1,Jan,Winter
2022-01-20,10.2,15.4,5.9,0.0,0.0,13.4,1,Jan,Winter
2022-01-21,9.2,16.0,3.7,0.0,0.0,11.8,1,Jan,Winter
2022-01-22,10.2,16.8,4.4,0.0,0.0,13.1,1,Jan,Winter
2022-01-23,12.1,17.4,7.6,0.0,0.0,21.4,1,Jan,Winter
2022-01-24,10.4,15.8,6.2,0.2,0.2,9.6,1,Jan,Winter
2022-01-25,10.2,16.0,4.2,0.0,0.0,15.6,1,Jan,Winter
2022-01-26,9.0,11.5,7.7,3.2,3.2,25.6,1,Jan,Winter
2022-01-27,10.0,15.0,6.3,0.0,0.0,19.2,1,Jan,Winter
2022-01-28,10.1,15.7,5.8,0.0,0.0,13.0,1,Jan,Winter
2022-01-29,11.1,17.0,5.4,0.0,0.0,11.0,1,Jan,Winter
2022-01-30,11.8,18.1,6.1,0.0,0.0,16.3,1,Jan,Winter
2022-01-31,12.3,17.1,8.2,1.0,1.0,22.5,1,Jan,Winter
2022-02-01,12.7,18.8,8.3,0.0,0.0,12.6,2,Feb,Winter
2022-02-02,12.6,20.3,7.2,0.0,0.0,16.3,2,Feb,Winter
2022-02-03,13.3,18.5,9.7,0.4,0.4,27.5,2,Feb,Winter
