datetime,temperature,relative_humidity,precipitation,wind_speed,cloud_cover,surface_pressure
2022-01-01 00:00:00,11.6,95,0.0,13.4,26,1011.2
2022-01-01 01:00:00,10.9,96,0.0,13.8,9,1011.0
2022-01-01 02:00:00,10.6,96,0.0,13.7,12,1010.8
2022-01-01 03:00:00,10.7,95,0.0,11.2,14,1010.3
2022-01-01 04:00:00,10.3,96,0.0,7.6,2,1010.4
2022-01-01 05:00:00,9.6,96,0.0,5.8,31,1010.3
2022-01-01 06:00:00,8.8,97,0.0,6.5,83,1010.1
2022-01-01 07:00:00,8.7,96,0.0,7.6,96,1010.7
2022-01-01 08:00:00,10.0,93,0.0,4.5,97,1011.1
2022-01-01 09:00:00,10.4,93,0.0,1.3,99,1011.8
2022-01-01 10:00:00,12.3,86,0.0,1.8,100,1012.1
2022-01-01 11:00:00,14.4,77,0.0,6.2,99,1012.1
2022-01-01 12:00:00,16.3,67,0.0,8.3,100,1011.6
2022-01-01 13:00:00,17.6,56,0.1,4.4,100,1010.9
2022-01-01 14:00:00,18.0,50,0.1,1.0,91,1010.3
2022-01-01 15:00:00,18.2,47,0.0,4.5,18,1010.2
2022-01-01 16:00:00,18.3,46,0.0,4.5,66,1010.1
2022-01-01 17:00:00,17.8,48,0.0,8.6,73,1010.2
2022-01-01 18:00:00,16.0,59,0.0,11.6,48,1010.7
2022-01-01 19:00:00,14.5,69,0.0,11.4,13,1011.6
2022-01-01 20:00:00,13.4,76,0.0,8.7,16,1011.9
2022-01-01 21:00:00,12.9,79,0.0,7.9,15,1012.5
2022-01-01 22:00:00,12.1,84,0.0,6.3,22,1012.9
2022-01-01 23:00:00,10.9,91,0.0,6.4,26,1013.1
2022-01-02 00:00:00,10.0,94,0.0,8.4,25,1013.4
2022-01-02 01:00:00,10.0,94,0.0,7.2,12,1013.3
2022-01-02 02:00:00,10.0,94,0.0,6.4,2,1012.9
2022-01-02 03:00:00,10.2,94,0.0,5.2,1,1013.0
