datetime,temp,tempmax,tempmin,humidity,dew,precip,precipprob,windspeed,pressure,cloudcover,solarenergy,uvindex
2019-01-01,10.3,14.8,6.6,64.8,3.8,0.091,0.0,16.7,1019.0,15.0,12.6,6.0
2019-01-02,9.1,13.4,5.0,69.0,3.5,0.0,0.0,15.9,1016.2,28.2,10.9,5.0
2019-01-03,8.7,11.5,5.7,71.0,3.7,5.443,100.0,27.7,1020.2,32.8,6.9,3.0
2019-01-04,9.4,16.0,5.2,63.7,2.2,0.229,0.0,11.3,1023.8,4.6,12.9,6.0
2019-01-05,9.0,13.4,5.0,69.2,3.5,0.0,0.0,21.2,1017.4,28.7,11.7,6.0
2019-01-06,7.5,10.4,4.0,67.8,1.7,0.054,0.0,43.9,1013.4,44.5,10.7,5.0
2019-01-07,6.0,9.4,2.0,71.8,1.1,22.013,100.0,31.7,1018.2,48.8,10.6,5.0
2019-01-08,7.7,10.9,4.9,71.0,2.7,24.468,100.0,46.4,1015.6,60.7,9.6,5.0
2019-01-09,5.7,8.3,3.4,85.5,3.4,15.409,100.0,40.7,1019.4,59.2,7.5,4.0
2019-01-10,7.0,12.9,3.0,74.4,2.5,0.537,100.0,16.6,1025.1,22.8,10.4,5.0
2019-01-11,8.0,13.4,3.4,59.3,0.3,0.0,0.0,18.4,1022.7,14.0,13.6,6.0
2019-01-12,8.6,15.4,2.0,63.0,1.6,0.0,0.0,12.5,1015.0,12.3,13.3,6.0
2019-01-13,9.0,11.9,6.1,61.0,1.7,0.0,0.0,35.3,1009.2,18.7,13.6,6.0
2019-01-14,8.1,9.9,6.6,76.6,4.2,0.1,0.0,37.1,1012.6,60.6,6.1,3.0
2019-01-15,9.1,13.5,5.7,66.4,2.9,13.629,100.0,20.5,1015.6,26.3,13.7,6.0
2019-01-16,6.7,10.9,0.0,63.2,-0.3,2.171,100.0,43.3,1010.3,37.8,11.2,6.0
2019-01-17,6.2,9.3,2.0,82.7,3.4,34.645,100.0,46.4,1016.9,64.5,8.5,4.0
2019-01-18,7.7,11.4,4.0,75.2,3.5,0.0,0.0,22.3,1021.7,40.7,9.6,5.0
