date,temperature_mean,temperature_max,temperature_min,precipitation
2022-01-01,12.2,18.29,7.63,0.51
2022-01-02,12.18,18.83,6.79,0.33
2022-01-03,12.91,19.76,8.35,0.4
2022-01-04,12.02,18.59,7.9,0.15
2022-01-05,12.67,19.56,7.71,0.0
2022-01-06,13.52,20.33,6.76,0.04
2022-01-07,12.99,19.52,6.94,2.3
2022-01-08,13.44,21.61,8.1,0.0
2022-01-09,11.02,15.94,6.75,0.0
2022-01-10,10.59,17.62,5.5,0.04
2022-01-11,11.45,18.99,5.96,0.0
2022-01-12,11.89,18.43,7.71,0.0
2022-01-13,12.09,18.44,7.24,0.44
2022-01-14,11.09,15.96,6.57,0.44
2022-01-15,9.82,15.73,5.51,0.03
2022-01-16,9.84,15.56,6.24,5.37
2022-01-17,9.88,15.15,5.04,5.84
2022-01-18,8.14,15.24,3.37,0.0
2022-01-19,8.49,14.7,4.45,7.16
2022-01-20,7.62,14.6,2.11,0.0
2022-01-21,8.15,15.83,2.34,0.0
2022-01-22,8.61,15.86,3.51,0.0
2022-01-23,9.29,15.95,3.96,0.7
2022-01-24,8.75,14.27,3.62,1.37
2022-01-25,7.71,15.31,1.14,0.0
2022-01-26,6.67,11.79,3.45,3.64
2022-01-27,7.09,13.03,2.77,2.25
2022-01-28,8.99,15.46,4.81,1.51
2022-01-29,9.3,15.81,4.34,0.06
2022-01-30,10.43,17.79,5.92,0.0
2022-01-31,10.01,15.48,5.01,0.8
2022-02-01,11.78,18.51,6.79,0.24
2022-02-02,11.76,19.27,5.95,0.0
2022-02-03,10.74,17.37,6.57,0.01
2022-02-04,9.8,14.69,5.59,0.93
2022-02-05,9.81,16.15,5.82,0.17
2022-02-06,11.57,19.02,6.59,0.01
2022-02-07,12.42,21.03,6.13,0.0
2022-02-08,13.55,22.64,6.6,0.0
2022-02-09,10.44,17.36,5.24,0.12
2022-02-10,9.88,16.44,5.12,0.0
2022-02-11,11.17,18.55,5.63,0.0
2022-02-12,12.27,21.13,5.69,0.0
2022-02-13,12.69,21.83,5.75,0.0
2022-02-14,11.99,19.54,5.65,0.0
2022-02-15,11.97,19.37,6.96,0.24
2022-02-16,11.97,19.55,5.4,0.0
2022-02-17,11.39,16.84,7.0,0.17
2022-02-18,12.63,18.71,6.92,2.82
2022-02-19,11.38,16.65,6.67,4.22
2022-02-20,12.61,20.46,6.37,0.0
2022-02-21,15.11,22.7,8.96,0.0
2022-02-22,16.82,23.75,9.18,0.0
2022-02-23,16.41,25.15,9.76,0.01
2022-02-24,11.5,17.01,6.94,1.83
2022-02-25,12.18,17.98,7.81,0.02
2022-02-26,12.24,19.81,6.1,0.0
2022-02-27,12.8,21.14,5.94,0.0
2022-02-28,13.88,22.84,6.82,0.0
2022-03-01,15.81,24.91,8.42,0.0
2022-03-02,18.38,28.34,10.99,0.0
2022-03-03,13.13,19.35,7.8,0.0
2022-03-04,12.87,19.95,6.87,0.0
2022-03-05,16.14,24.96,8.53,0.0
2022-03-06,19.74,27.64,12.26,0.0
2022-03-07,16.44,24.2,9.68,0.17
2022-03-08,16.55,23.31,12.12,0.59
2022-03-09,15.57,22.44,10.6,0.04
2022-03-10,12.81,18.78,8.58,0.01
2022-03-11,11.08,17.27,6.68,0.01
2022-03-12,9.54,16.14,4.78,0.12
2022-03-13,9.1,16.32,3.64,0.86
2022-03-14,8.9,16.29,2.39,0.0
2022-03-15,9.59,17.14,3.4,0.03
2022-03-16,10.43,18.71,3.13,0.0
2022-03-17,11.39,19.91,3.71,0.01
2022-03-18,13.12,21.07,6.35,0.37
2022-03-19,12.83,19.76,6.82,0.01
2022-03-20,11.77,17.96,7.6,24.88
2022-03-21,11.6,18.63,6.75,10.68
2022-03-22,10.58,17.27,4.26,0.94
2022-03-23,10.56,17.55,4.05,0.17
2022-03-24,10.22,16.35,4.59,0.64
2022-03-25,11.58,18.83,6.04,0.74
2022-03-26,13.51,22.64,5.63,0.0
2022-03-27,14.05,23.46,7.03,0.05
2022-03-28,14.33,23.75,7.15,0.0
2022-03-29,16.95,27.47,8.21,0.0
2022-03-30,17.28,27.11,8.71,0.0
2022-03-31,19.09,28.97,11.1,0.0
2022-04-01,20.65,30.5,11.05,0.0
2022-04-02,23.87,33.65,16.44,0.0
2022-04-03,20.45,28.11,14.74,0.0
2022-04-04,21.5,32.61,13.08,0.0
2022-04-05,26.88,38.36,15.28,0.0
2022-04-06,25.74,36.23,18.47,0.0
2022-04-07,25.69,35.82,15.82,0.0
2022-04-08,21.72,29.44,13.8,0.0
2022-04-09,19.28,28.83,10.77,0.0
2022-04-10,20.98,31.79,12.77,0.0
2022-04-11,19.05,28.45,12.52,0.0
2022-04-12,16.58,24.93,10.01,0.0
2022-04-13,17.14,26.73,8.52,0.0
2022-04-14,17.75,27.15,10.03,0.0
2022-04-15,19.13,29.1,10.07,0.0
2022-04-16,22.5,33.45,13.58,0.0
2022-04-17,28.91,40.0,18.94,0.0
2022-04-18,22.41,26.74,17.42,0.0
2022-04-19,20.46,28.2,14.19,0.0
2022-04-20,18.33,26.34,10.81,0.0
2022-04-21,18.88,28.16,10.99,0.0
2022-04-22,18.79,27.8,12.41,0.0
2022-04-23,20.44,31.26,11.6,0.0
2022-04-24,22.63,34.69,11.95,0.0
2022-04-25,24.15,34.26,15.16,0.0
2022-04-26,23.89,33.28,15.44,0.0
2022-04-27,23.01,33.24,13.67,0.0
2022-04-28,22.72,32.88,13.17,0.0
2022-04-29,27.22,37.77,16.01,0.0
2022-04-30,24.01,33.04,16.52,0.0
2022-05-01,22.95,32.92,13.86,0.0
2022-05-02,23.95,29.57,17.58,0.0
2022-05-03,24.9,32.77,18.09,0.0
2022-05-04,21.48,28.87,15.34,0.0
2022-05-05,19.63,27.96,12.61,0.0
2022-05-06,20.44,29.35,11.75,0.0
2022-05-07,21.28,29.02,13.17,0.0
2022-05-08,25.51,34.21,17.69,0.0
2022-05-09,26.32,36.0,18.57,0.0
2022-05-10,23.99,32.76,14.92,0.0
2022-05-11,22.96,29.35,15.49,0.0
2022-05-12,23.45,31.87,15.57,0.0
2022-05-13,25.0,33.78,16.95,0.0
2022-05-14,25.26,34.79,17.72,0.0
2022-05-15,23.5,32.01,15.96,0.0
2022-05-16,21.37,26.97,16.47,0.0
2022-05-17,24.51,34.18,13.86,0.0
2022-05-18,25.69,35.12,15.7,0.0
2022-05-19,27.23,36.54,16.7,0.0
2022-05-20,28.9,38.06,21.08,0.0
2022-05-21,24.56,32.0,18.03,0.0
2022-05-22,22.53,29.96,15.26,0.0
2022-05-23,24.73,33.72,15.18,0.0
2022-05-24,26.22,36.11,16.32,0.0
2022-05-25,26.66,35.91,16.65,0.0
2022-05-26,26.71,35.72,17.45,0.0
2022-05-27,28.12,37.75,18.32,0.0
2022-05-28,28.9,38.05,18.84,0.0
2022-05-29,29.83,38.95,20.06,0.0
2022-05-30,31.34,41.25,21.04,0.0
2022-05-31,28.96,37.73,20.92,0.0
2022-06-01,26.29,34.34,18.33,0.0
2022-06-02,26.61,35.4,17.35,0.0
2022-06-03,28.04,36.42,18.9,0.0
2022-06-04,29.6,37.63,20.78,0.0
2022-06-05,30.6,38.98,21.62,0.0
2022-06-06,29.09,36.28,21.54,0.0
2022-06-07,28.98,37.16,20.36,0.0
2022-06-08,30.38,38.72,21.23,0.0
2022-06-09,33.22,41.39,24.63,0.0
2022-06-10,32.89,41.73,23.35,0.0
2022-06-11,34.32,44.3,24.85,0.0
2022-06-12,29.08,35.99,23.03,0.0
2022-06-13,27.61,34.53,19.94,0.0
2022-06-14,29.2,35.9,21.72,0.0
2022-06-15,28.76,36.54,21.27,0.0
2022-06-16,29.12,37.93,20.26,0.0
2022-06-17,29.35,37.84,22.41,0.0
2022-06-18,28.69,37.27,21.02,0.0
2022-06-19,27.92,36.61,19.24,0.0
2022-06-20,27.57,36.26,19.52,0.0
2022-06-21,26.88,35.47,18.92,0.0
2022-06-22,27.76,36.49,19.12,0.0
2022-06-23,29.79,38.56,19.66,0.0
2022-06-24,31.52,40.47,21.55,0.0
2022-06-25,29.32,37.21,22.56,0.0
2022-06-26,29.13,38.5,19.68,0.0
2022-06-27,28.98,36.94,21.51,0.0
2022-06-28,28.29,35.9,19.98,0.0
2022-06-29,29.17,36.47,21.77,0.0
2022-06-30,28.98,35.86,22.24,0.0
2022-07-01,29.11,36.42,21.88,0.0
2022-07-02,29.83,37.61,21.47,0.0
2022-07-03,30.48,38.12,22.29,0.0
2022-07-04,31.02,38.41,22.77,0.0
2022-07-05,30.53,37.91,23.16,0.0
2022-07-06,29.53,37.77,21.04,0.0
2022-07-07,29.07,37.53,20.01,0.0
2022-07-08,28.97,37.85,20.46,0.0
2022-07-09,29.83,38.86,22.03,0.0
2022-07-10,29.38,37.25,21.6,0.0
2022-07-11,28.89,36.24,21.45,0.0
2022-07-12,29.75,38.56,21.63,0.0
2022-07-13,28.23,36.74,20.97,0.0
2022-07-14,27.26,36.11,19.35,0.0
2022-07-15,27.69,35.78,19.26,0.0
2022-07-16,27.81,35.75,20.94,0.0
2022-07-17,29.36,38.67,19.91,0.0
2022-07-18,30.97,39.95,20.71,0.0
2022-07-19,32.0,40.14,22.52,0.0
2022-07-20,31.79,40.17,23.65,0.01
2022-07-21,30.12,38.68,22.41,0.0
2022-07-22,29.96,38.79,20.69,0.18
2022-07-23,29.99,39.78,20.34,0.24
2022-07-24,30.82,40.61,21.65,1.32
2022-07-25,30.78,39.82,21.0,0.08
2022-07-26,30.85,39.56,21.87,0.03
2022-07-27,30.14,38.88,21.1,0.03
2022-07-28,31.06,39.9,21.38,0.0
2022-07-29,30.97,39.14,22.24,0.01
2022-07-30,30.21,38.37,21.85,0.0
2022-07-31,30.72,39.72,22.05,0.0
2022-08-01,30.93,40.58,22.66,0.18
2022-08-02,30.01,38.79,21.79,0.06
2022-08-03,29.69,38.35,21.44,0.02
2022-08-04,30.06,38.95,21.37,0.0
2022-08-05,30.28,38.49,22.67,0.0
2022-08-06,30.0,38.4,22.85,0.0
2022-08-07,29.72,37.31,21.85,0.0
2022-08-08,30.91,38.16,23.71,0.0
2022-08-09,31.05,38.3,24.45,0.0
2022-08-10,30.37,37.42,23.31,0.0
2022-08-11,30.13,37.7,22.87,0.0
2022-08-12,29.63,37.12,22.62,0.0
2022-08-13,29.16,37.26,21.89,0.0
2022-08-14,29.84,38.27,21.69,0.03
2022-08-15,29.46,37.17,21.84,0.0
2022-08-16,29.64,37.93,21.73,0.27
2022-08-17,29.03,37.51,21.57,0.15
2022-08-18,29.52,38.87,21.25,0.03
2022-08-19,29.88,38.14,21.55,0.0
2022-08-20,31.17,39.88,23.03,0.0
2022-08-21,31.08,38.81,23.33,0.0
2022-08-22,31.55,39.58,23.65,0.0
2022-08-23,32.51,40.3,25.0,0.0
2022-08-24,33.35,41.9,25.14,0.0
2022-08-25,31.06,38.72,24.42,0.0
2022-08-26,29.86,37.06,22.76,0.0
2022-08-27,30.15,38.54,21.99,0.0
2022-08-28,30.15,38.49,23.04,0.0
2022-08-29,30.08,38.77,22.75,0.13
2022-08-30,30.04,38.22,23.06,0.58
2022-08-31,29.58,37.07,23.28,0.29
2022-09-01,29.44,37.86,22.04,0.0
2022-09-02,29.5,37.54,22.04,0.0
2022-09-03,29.45,37.61,22.84,0.0
2022-09-04,29.11,37.84,21.94,0.0
2022-09-05,28.73,36.81,21.66,0.0
2022-09-06,28.26,35.92,21.64,0.0
2022-09-07,28.55,35.85,22.05,0.0
2022-09-08,29.25,36.74,21.75,0.0
2022-09-09,29.14,37.39,21.62,0.0
2022-09-10,28.5,37.2,20.82,0.0
2022-09-11,28.36,37.85,19.21,0.0
2022-09-12,29.26,37.79,21.5,0.0
2022-09-13,28.49,36.29,21.58,0.0
2022-09-14,27.31,34.48,20.46,0.0
2022-09-15,26.38,33.6,19.45,0.0
2022-09-16,26.32,33.18,20.57,0.0
2022-09-17,27.05,34.2,20.21,0.0
2022-09-18,27.53,34.64,20.89,0.04
2022-09-19,27.68,35.34,20.35,0.58
2022-09-20,26.9,33.94,21.55,3.32
2022-09-21,25.51,33.22,18.86,0.0
2022-09-22,28.25,36.43,20.56,0.0
2022-09-23,28.77,36.62,22.29,0.0
2022-09-24,28.54,37.64,21.25,0.0
2022-09-25,29.02,38.53,21.23,0.0
2022-09-26,29.68,39.03,22.12,0.0
2022-09-27,29.25,38.11,21.32,0.0
2022-09-28,28.8,37.09,21.62,0.0
2022-09-29,29.79,38.72,22.14,0.0
2022-09-30,30.2,39.49,22.41,0.0
2022-10-01,29.75,39.56,22.27,0.0
2022-10-02,28.7,38.09,20.6,0.0
2022-10-03,27.13,34.14,22.27,0.0
2022-10-04,25.4,32.9,18.79,0.0
2022-10-05,25.75,33.52,19.11,0.0
2022-10-06,25.11,32.22,19.43,0.0
2022-10-07,23.51,30.11,17.56,0.0
2022-10-08,23.36,30.3,17.18,0.0
2022-10-09,23.37,30.18,17.01,0.0
2022-10-10,23.56,30.74,17.14,0.0
2022-10-11,24.07,31.56,17.37,0.0
2022-10-12,23.76,30.55,17.82,0.0
2022-10-13,23.56,31.04,16.98,0.0
2022-10-14,22.82,29.62,16.7,0.0
2022-10-15,25.02,33.04,17.56,0.0
2022-10-16,24.67,30.93,19.63,0.01
2022-10-17,23.82,30.37,18.06,0.01
2022-10-18,22.85,29.7,16.75,0.0
2022-10-19,22.92,29.58,16.93,0.01
2022-10-20,23.57,30.03,17.51,0.06
2022-10-21,23.12,29.31,17.85,0.08
2022-10-22,23.15,29.15,17.26,0.31
2022-10-23,22.45,27.92,17.88,0.86
2022-10-24,21.79,28.04,15.84,0.09
2022-10-25,21.45,26.21,16.64,3.42
2022-10-26,22.57,28.88,17.09,0.51
2022-10-27,22.68,29.83,16.78,0.27
2022-10-28,22.87,29.58,16.96,0.01
2022-10-29,22.23,28.57,15.76,0.02
2022-10-30,21.7,28.16,16.52,0.04
2022-10-31,21.14,27.79,15.85,0.01
2022-11-01,20.43,26.39,16.32,0.19
2022-11-02,19.96,26.84,14.36,0.0
2022-11-03,20.45,27.66,14.34,0.0
2022-11-04,20.28,27.08,14.25,0.0
2022-11-05,19.57,26.47,14.11,0.0
2022-11-06,19.46,26.59,13.68,0.0
2022-11-07,19.78,27.57,12.83,0.0
2022-11-08,19.56,25.42,14.73,0.2
2022-11-09,19.09,25.83,13.96,0.03
2022-11-10,18.45,25.57,13.14,0.0
2022-11-11,19.4,26.68,13.35,0.01
2022-11-12,19.96,27.21,13.83,0.03
2022-11-13,20.8,28.49,15.03,0.18
2022-11-14,20.26,26.15,15.65,0.12
2022-11-15,18.28,24.62,13.27,0.0
2022-11-16,17.94,24.35,12.78,0.03
2022-11-17,18.39,24.65,12.98,0.0
2022-11-18,19.0,26.27,14.33,0.0
2022-11-19,18.78,26.83,12.98,0.0
2022-11-20,19.54,28.25,12.9,0.0
2022-11-21,19.54,26.49,13.92,0.0
2022-11-22,18.89,25.7,13.47,0.02
2022-11-23,17.97,25.15,12.39,0.01
2022-11-24,17.14,23.85,11.86,0.0
2022-11-25,17.42,24.26,13.07,0.0
2022-11-26,16.44,23.36,11.31,0.0
2022-11-27,15.46,20.69,11.96,0.0
2022-11-28,16.2,21.79,11.29,0.0
2022-11-29,16.33,23.47,10.0,0.0
2022-11-30,18.02,24.98,12.62,0.0
2022-12-01,17.22,24.65,12.18,0.0
2022-12-02,18.07,25.58,12.33,0.0
2022-12-03,18.75,26.24,13.58,0.03
2022-12-04,17.63,24.18,13.13,0.0
2022-12-05,16.81,23.0,12.48,0.03
2022-12-06,16.65,22.28,12.45,0.08
2022-12-07,15.91,22.14,10.87,0.0
2022-12-08,17.27,23.73,11.49,0.0
2022-12-09,18.51,25.89,11.84,0.0
