date,temperature,temp_min,temp_max,precipitation
2022-01-01,11.08,10.16,12.75,0
2022-01-02,10.29,8.12,11.77,0
2022-01-03,8.12,7.33,9.52,0
2022-01-04,3.79,-0.24,7.35,0
2022-01-05,0.97,-0.51,5.49,0
2022-01-06,1.67,-2.82,6.31,0
2022-01-07,3.38,2.27,5.44,0
2022-01-08,5.38,2.14,9.21,0
2022-01-09,3.19,1.64,6.65,0
2022-01-10,4.75,1.9,7.57,0
2022-01-11,7.39,5.08,10.09,0
2022-01-12,3.29,1.25,7.16,0
2022-01-13,2.48,0.13,7.7,0
2022-01-14,1.41,-0.99,6.1,0
2022-01-15,2.33,0.82,4.49,0
2022-01-16,3.75,0.87,6.51,0
2022-01-17,2.82,0.35,7.4,0
2022-01-18,3.0,0.12,7.23,0
2022-01-19,4.03,2.08,8.82,0
2022-01-20,1.24,-1.84,5.0,0
2022-01-21,0.58,-3.12,5.35,0
2022-01-22,2.54,0.61,6.6,0
2022-01-23,2.69,0.46,6.27,0
2022-01-24,1.69,-0.22,5.39,0
2022-01-25,0.89,-1.26,3.64,0
2022-01-26,2.1,-1.35,7.03,0
2022-01-27,5.19,2.44,10.98,0
2022-01-28,4.96,2.68,8.57,0
2022-01-29,8.58,3.26,12.09,0
2022-01-30,3.3,-1.55,7.44,0
2022-01-31,4.47,1.97,7.09,0
2022-02-01,8.22,2.52,12.16,0
2022-02-02,7.85,5.43,11.65,0
2022-02-03,7.31,5.89,9.74,0
2022-02-04,5.77,2.05,8.53,0
2022-02-05,5.45,0.65,9.63,0
2022-02-06,8.03,4.01,10.67,0
2022-02-07,5.69,1.48,9.52,0
2022-02-08,8.95,6.97,11.68,0
2022-02-09,8.06,6.66,10.63,0
2022-02-10,4.27,1.0,6.97,0
2022-02-11,3.12,0.68,8.16,0
2022-02-12,4.69,1.0,8.3,0
2022-02-13,7.34,5.93,9.0,0
2022-02-14,6.48,2.96,9.08,0
2022-02-15,6.01,1.37,8.76,0
2022-02-16,11.56,8.91,14.26,0
2022-02-17,7.93,6.26,10.86,0
2022-02-18,7.5,3.18,10.66,0
2022-02-19,5.07,1.64,8.96,0
2022-02-20,8.67,4.07,11.18,0
2022-02-21,6.54,3.5,10.35,0
2022-02-22,7.13,3.01,12.4,0
2022-02-23,6.21,2.86,11.2,0
2022-02-24,5.35,1.38,7.78,0
2022-02-25,4.65,1.36,10.09,0
2022-02-26,4.3,-0.25,9.93,0
2022-02-27,4.13,0.42,9.11,0
2022-02-28,8.05,3.83,11.93,0
2022-03-01,7.47,6.52,8.65,0
2022-03-02,6.06,4.19,7.69,0
2022-03-03,7.37,3.92,13.15,0
2022-03-04,6.28,3.46,8.62,0
2022-03-05,4.74,2.44,7.74,0
2022-03-06,4.0,1.31,7.88,0
2022-03-07,3.37,-0.02,7.33,0
2022-03-08,4.87,-1.19,10.66,0
2022-03-09,8.23,5.95,11.61,0
2022-03-10,9.55,5.84,14.4,0
2022-03-11,8.65,6.49,11.32,0
2022-03-12,9.03,6.96,11.99,0
2022-03-13,8.06,6.27,11.37,0
2022-03-14,7.27,3.78,12.18,0
2022-03-15,8.22,3.12,14.21,0
2022-03-16,8.4,5.27,11.11,0
2022-03-17,6.68,1.22,12.88,0
2022-03-18,8.36,3.78,15.21,0
2022-03-19,8.44,5.29,13.26,0
2022-03-20,5.95,1.06,10.66,0
2022-03-21,7.14,-0.77,15.3,0
2022-03-22,10.53,6.3,17.63,0
2022-03-23,10.33,4.52,17.86,0
2022-03-24,9.75,4.26,17.12,0
2022-03-25,8.39,2.34,16.33,0
2022-03-26,8.78,2.61,16.3,0
2022-03-27,8.36,4.25,14.66,0
2022-03-28,8.59,4.07,15.0,0
2022-03-29,8.24,6.28,11.93,0
2022-03-30,6.9,1.62,10.88,0
2022-03-31,2.54,-0.09,5.92,0
2022-04-01,2.8,-1.19,7.62,0
2022-04-02,2.63,-1.6,7.66,0
2022-04-03,3.47,-2.96,9.41,0
2022-04-04,8.09,2.17,13.31,0
2022-04-05,10.52,6.68,14.72,0
2022-04-06,9.68,6.88,12.59,0
2022-04-07,8.28,2.47,11.81,0
2022-04-08,5.22,2.21,9.87,0
2022-04-09,5.3,-0.05,10.36,0
2022-04-10,6.75,-0.03,13.18,0
2022-04-11,10.02,4.98,15.03,0
2022-04-12,11.55,7.68,17.88,0
2022-04-13,11.94,6.9,17.54,0
2022-04-14,12.75,6.44,18.16,0
2022-04-15,13.62,7.96,20.15,0
2022-04-16,11.5,6.86,17.82,0
2022-04-17,11.02,5.27,17.33,0
2022-04-18,10.32,5.68,15.19,0
2022-04-19,10.02,4.9,15.97,0
2022-04-20,10.53,6.1,16.64,0
2022-04-21,10.97,6.15,16.99,0
2022-04-22,10.74,6.52,15.11,0
2022-04-23,11.98,8.83,15.88,0
2022-04-24,11.09,5.78,17.04,0
2022-04-25,9.08,5.25,13.23,0
2022-04-26,9.08,3.88,14.86,0
2022-04-27,8.28,3.73,13.25,0
2022-04-28,9.23,3.75,14.44,0
2022-04-29,8.57,3.42,13.47,0
2022-04-30,10.02,1.84,16.51,0
2022-05-01,10.42,8.12,13.19,0
2022-05-02,11.71,7.54,15.31,0
2022-05-03,11.7,6.69,15.93,0
2022-05-04,11.54,8.16,15.38,0
2022-05-05,13.17,6.55,18.75,0
2022-05-06,14.33,7.97,20.6,0
2022-05-07,13.01,8.22,17.31,0
2022-05-08,11.54,5.81,17.56,0
2022-05-09,13.31,4.15,20.66,0
2022-05-10,14.64,11.04,19.1,0
2022-05-11,13.07,8.25,16.98,0
2022-05-12,12.34,6.06,17.94,0
2022-05-13,13.55,8.31,19.09,0
2022-05-14,14.02,7.02,20.9,0
2022-05-15,14.23,11.04,17.49,0
2022-05-16,16.17,12.0,20.82,0
2022-05-17,17.17,10.39,23.13,0
2022-05-18,15.39,8.82,20.33,0
2022-05-19,15.63,11.0,20.79,0
2022-05-20,12.98,10.34,16.94,0
2022-05-21,13.78,8.64,19.42,0
2022-05-22,15.47,9.4,21.39,0
2022-05-23,13.81,9.83,18.47,0
2022-05-24,12.23,8.51,16.58,0
2022-05-25,12.97,6.74,17.47,0
2022-05-26,15.36,9.19,20.41,0
2022-05-27,14.44,9.09,19.05,0
2022-05-28,12.24,6.84,17.3,0
2022-05-29,10.47,5.29,14.62,0
2022-05-30,10.91,5.69,15.29,0
2022-05-31,11.61,7.53,15.38,0
2022-06-01,12.05,6.6,16.93,0
2022-06-02,13.55,6.84,19.03,0
2022-06-03,14.9,8.43,20.03,0
2022-06-04,14.74,10.9,19.03,0
2022-06-05,13.46,10.93,16.53,0
2022-06-06,13.74,10.44,17.25,0
2022-06-07,15.8,10.15,20.68,0
2022-06-08,16.15,11.55,20.42,0
2022-06-09,15.27,9.44,19.66,0
2022-06-10,17.19,12.13,21.85,0
2022-06-11,16.19,9.81,21.48,0
2022-06-12,15.68,9.26,21.02,0
2022-06-13,15.68,9.15,20.69,0
2022-06-14,16.28,9.76,22.0,0
2022-06-15,17.89,9.28,23.96,0
2022-06-16,19.56,12.52,25.6,0
2022-06-17,21.28,13.69,28.14,0
2022-06-18,17.42,11.17,21.61,0
2022-06-19,14.41,10.13,19.47,0
2022-06-20,15.18,9.49,20.77,0
2022-06-21,15.78,8.53,21.86,0
2022-06-22,17.47,9.86,24.2,0
2022-06-23,18.25,10.03,24.71,0
2022-06-24,17.62,13.43,22.13,0
2022-06-25,15.75,11.78,19.49,0
2022-06-26,15.65,10.43,20.35,0
2022-06-27,15.31,10.31,19.74,0
2022-06-28,15.7,8.98,20.59,0
2022-06-29,16.4,12.34,21.58,0
2022-06-30,14.73,11.17,18.55,0
2022-07-01,15.74,9.7,21.14,0
2022-07-02,16.29,10.56,20.96,0
2022-07-03,16.29,10.02,22.29,0
2022-07-04,16.8,9.64,23.31,0
2022-07-05,16.65,9.18,22.7,0
2022-07-06,18.32,10.4,24.38,0
2022-07-07,18.83,14.37,23.48,0
2022-07-08,20.24,12.15,27.04,0
2022-07-09,19.3,13.06,25.13,0
2022-07-10,20.72,13.05,27.81,0
2022-07-11,21.86,14.92,28.98,0
2022-07-12,22.85,16.29,29.83,0
2022-07-13,22.02,16.89,27.52,0
2022-07-14,19.17,14.04,24.63,0
2022-07-15,18.87,11.62,25.6,0
2022-07-16,19.38,12.14,26.26,0
2022-07-17,20.83,13.53,27.42,0
2022-07-18,24.38,16.77,33.85,0
2022-07-19,25.93,17.88,34.53,0
2022-07-20,21.84,17.12,27.25,0
2022-07-21,19.66,15.11,24.54,0
2022-07-22,17.56,14.44,20.58,0
2022-07-23,20.13,13.22,26.64,0
2022-07-24,21.15,16.09,26.1,0
2022-07-25,20.2,14.59,25.24,0
2022-07-26,17.27,13.26,21.16,0
2022-07-27,17.32,13.09,21.28,0
2022-07-28,17.5,13.37,21.58,0
2022-07-29,19.82,12.27,26.67,0
2022-07-30,20.88,14.4,27.12,0
