date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,precipitation_sum,cloud_cover_mean,relative_humidity_2m_mean,wind_gusts_10m_max,wind_speed_10m_mean,pressure_msl_mean,month,day_month,day_name
2025-01-01,20.45,14.914582,9.5,0.0,22.875,64.20565,30.960001,6.045711,1027.9084,1,1,Wednesday
2025-01-02,20.45,15.345833,10.4,0.0,0.0,57.467316,35.64,8.720238,1026.7417,1,2,Thursday
2025-01-03,20.65,15.720834,10.4,0.0,42.875,56.20432,37.8,9.496969,1023.429,1,3,Friday
2025-01-04,22.3,16.564585,11.85,0.0,87.916664,39.18831,24.84,8.063175,1016.71674,1,4,Saturday
2025-01-05,20.3,15.379167,11.05,0.0,38.083332,54.458157,36.0,10.035728,1012.5085,1,5,Sunday
2025-01-06,22.8,17.274998,13.25,0.0,26.5,68.15798,41.399998,10.025181,1020.8125,1,6,Monday
2025-01-07,21.2,16.34375,11.95,0.0,36.083332,64.264145,29.88,6.616617,1023.76263,1,7,Tuesday
2025-01-08,22.75,16.277082,10.5,0.0,0.25,53.200623,28.08,7.6559,1021.10834,1,8,Wednesday
2025-01-09,23.15,16.058332,9.45,0.0,0.375,50.44179,19.44,3.638861,1016.3125,1,9,Thursday
2025-01-10,20.75,15.339583,10.5,0.2,12.458333,64.02549,33.48,7.494174,1016.10846,1,10,Friday
2025-01-11,20.95,15.997914,11.8,0.6,31.791666,70.432625,30.599998,6.6773324,1020.6748,1,11,Saturday
2025-01-12,22.0,16.427082,11.3,0.0,0.0,60.641956,22.68,3.7341108,1021.83765,1,12,Sunday
2025-01-13,24.15,17.314585,10.9,0.0,7.4166665,49.89667,20.16,2.9687204,1020.80005,1,13,Monday
2025-01-14,24.05,16.652082,9.8,0.0,98.958336,56.15913,16.199999,3.0835152,1018.78345,1,14,Tuesday
2025-01-15,22.1,16.668749,12.5,0.0,99.416664,68.42753,21.24,5.3301916,1019.68335,1,15,Wednesday
2025-01-16,23.2,18.022917,13.55,0.0,88.166664,66.794014,37.079998,11.5055,1023.61255,1,16,Thursday
2025-01-17,21.8,17.668749,14.2,0.0,97.166664,67.86429,37.44,11.763962,1024.5042,1,17,Friday
2025-01-18,22.05,17.127085,12.45,0.0,99.791664,59.58345,34.2,9.396675,1022.0207,1,18,Saturday
2025-01-19,21.1,16.3875,10.85,0.0,94.25,59.728596,28.44,5.799972,1020.73755,1,19,Sunday
2025-01-20,23.2,17.085417,10.95,0.0,94.25,56.02904,20.16,5.0241623,1020.32916,1,20,Monday
2025-01-21,24.15,17.85625,12.9,2.8,90.208336,51.49695,28.8,8.258018,1020.9167,1,21,Tuesday
2025-01-22,22.25,17.345835,13.15,0.1,27.166666,70.26151,28.8,7.2692814,1020.6458,1,22,Wednesday
2025-01-23,21.2,16.2875,11.85,0.0,16.375,68.027245,37.079998,7.6477733,1022.7,1,23,Thursday
2025-01-24,21.75,16.377083,10.7,0.0,12.333333,63.965603,26.28,5.3636765,1022.375,1,24,Friday
2025-01-25,21.6,16.533333,11.35,0.0,51.166668,59.058014,21.24,3.118107,1020.29175,1,25,Saturday
2025-01-26,22.5,16.710415,10.35,0.0,17.416666,59.25778,25.56,5.5004334,1019.85425,1,26,Sunday
2025-01-27,22.1,16.46875,10.35,0.0,36.708332,59.956417,26.28,6.0121775,1020.2834,1,27,Monday
2025-01-28,21.9,16.862501,12.7,0.0,50.166668,57.141033,38.519997,9.548507,1019.67914,1,28,Tuesday
2025-01-29,23.1,17.333332,11.8,0.0,5.8333335,50.770676,34.92,9.218043,1022.49585,1,29,Wednesday
2025-01-30,24.3,17.439583,11.35,0.0,7.5,61.441986,37.8,7.9360847,1023.9416,1,30,Thursday
2025-01-31,22.6,16.506248,10.5,0.0,13.958333,57.883392,37.44,8.077112,1024.4584,1,31,Friday
2025-02-01,22.4,16.641666,10.6,0.0,69.25,61.121487,30.239998,6.8899574,1023.39166,2,1,Saturday
2025-02-02,22.35,16.866665,11.6,0.0,97.708336,57.78885,35.64,9.91865,1021.12494,2,2,Sunday
