date,temp_max,temp_min,temp_mean,precipitation,humidity
2023-01-01,21.2,10.54,14.71,0.06,76.77
2023-01-02,22.84,9.76,14.61,0.18,77.2
2023-01-03,20.4,8.92,13.95,0.38,79.83
2023-01-04,19.92,9.61,14.35,0.39,78.11
2023-01-05,19.47,7.82,13.09,0.05,74.68
2023-01-06,20.97,7.95,13.45,0.0,64.4
2023-01-07,20.43,9.62,14.29,0.02,61.11
2023-01-08,19.75,9.11,13.47,0.7,69.9
2023-01-09,18.09,7.97,12.56,1.15,78.54
2023-01-10,21.31,8.75,14.28,0.01,63.7
2023-01-11,19.87,8.48,13.18,0.0,60.98
2023-01-12,18.81,7.46,11.78,0.34,62.6
2023-01-13,19.69,7.08,12.42,0.01,61.55
2023-01-14,19.03,9.7,13.17,0.31,64.06
2023-01-15,19.08,7.51,12.74,0.01,65.94
2023-01-16,16.88,8.0,11.2,0.36,63.41
2023-01-17,19.52,5.8,12.21,0.0,62.16
2023-01-18,22.0,6.27,12.78,0.0,60.77
2023-01-19,23.86,6.77,13.9,0.01,61.36
2023-01-20,22.41,6.84,13.48,0.0,50.74
2023-01-21,20.06,8.88,13.06,2.45,78.34
2023-01-22,20.64,7.72,13.02,9.47,78.84
2023-01-23,21.74,7.82,13.76,20.53,82.76
2023-01-24,21.97,9.62,14.2,34.09,81.6
2023-01-25,20.66,7.94,12.82,5.16,80.0
2023-01-26,21.28,7.13,12.71,3.02,74.67
2023-01-27,23.96,9.72,15.33,0.0,45.25
2023-01-28,21.9,9.66,14.76,0.0,51.99
2023-01-29,20.88,9.55,13.92,0.12,73.12
2023-01-30,20.4,8.48,12.87,0.03,71.84
2023-01-31,15.75,5.91,10.62,1.74,68.12
2023-02-01,16.25,6.27,10.3,3.23,71.94
2023-02-02,17.7,4.34,10.73,0.01,68.86
2023-02-03,17.84,7.38,11.64,0.01,71.04
2023-02-04,18.69,5.26,11.26,0.09,70.4
2023-02-05,18.76,5.64,11.25,0.0,59.9
2023-02-06,13.8,6.03,9.73,0.46,64.75
2023-02-07,14.07,3.41,8.32,0.16,71.99
2023-02-08,13.75,3.82,8.57,2.04,79.21
2023-02-09,15.41,3.96,9.23,0.0,64.07
2023-02-10,18.11,3.93,10.19,0.0,70.97
2023-02-11,15.96,5.28,10.28,3.33,79.15
2023-02-12,16.59,5.04,10.43,0.26,71.46
2023-02-13,16.43,4.43,9.82,0.26,73.27
2023-02-14,16.07,4.14,9.66,0.56,75.54
2023-02-15,16.41,4.37,10.08,0.06,73.88
2023-02-16,17.54,6.29,11.44,0.06,72.23
2023-02-17,18.75,5.95,11.59,0.02,74.25
2023-02-18,20.18,6.33,12.09,0.0,72.69
2023-02-19,20.65,6.27,12.32,0.01,73.87
2023-02-20,20.18,7.58,12.7,0.0,72.38
2023-02-21,20.77,7.48,13.42,0.0,68.31
2023-02-22,20.57,7.59,13.12,0.0,74.85
2023-02-23,20.38,8.83,13.85,0.0,67.66
2023-02-24,20.93,9.37,14.45,0.0,66.5
2023-02-25,22.75,10.35,15.9,0.0,62.09
2023-02-26,23.24,10.48,15.7,0.0,61.44
2023-02-27,26.19,8.39,15.95,0.0,70.99
2023-02-28,30.74,10.47,19.18,0.0,50.33
2023-03-01,31.07,12.99,21.64,0.0,31.14
2023-03-02,32.39,13.52,21.26,0.0,31.6
2023-03-03,27.29,11.4,18.09,0.0,61.16
2023-03-04,29.96,11.07,19.88,0.0,49.6
2023-03-05,32.65,13.18,21.14,0.0,39.81
2023-03-06,23.15,10.2,15.84,0.0,66.11
2023-03-07,22.45,9.66,15.02,0.0,65.4
2023-03-08,22.44,8.34,14.64,0.0,63.16
2023-03-09,25.64,9.95,17.32,0.0,45.38
2023-03-10,27.8,11.07,18.93,0.0,37.93
2023-03-11,27.16,11.96,18.65,0.0,58.23
2023-03-12,28.28,12.34,19.21,0.0,43.63
2023-03-13,26.86,12.45,18.46,0.11,54.68
2023-03-14,20.26,10.15,14.65,3.79,74.77
2023-03-15,21.63,8.74,14.51,0.06,59.68
2023-03-16,25.4,8.33,16.62,0.0,37.16
2023-03-17,25.13,9.75,16.7,0.01,47.19
2023-03-18,21.08,10.48,14.87,0.1,64.91
2023-03-19,20.87,8.31,14.09,0.18,67.76
2023-03-20,21.9,9.74,14.73,0.42,68.97
2023-03-21,23.76,10.84,16.28,0.03,63.17
2023-03-22,25.93,10.33,18.3,0.0,50.08
2023-03-23,28.68,15.84,21.07,0.03,39.97
2023-03-24,30.29,14.97,21.52,0.17,39.88
2023-03-25,23.98,12.76,18.3,0.96,71.95
2023-03-26,24.29,9.44,16.47,0.04,64.66
2023-03-27,27.49,10.26,18.32,0.0,56.19
2023-03-28,29.59,10.71,19.7,0.01,53.33
2023-03-29,24.57,10.47,16.68,0.02,60.73
2023-03-30,21.06,9.13,14.09,0.01,52.44
2023-03-31,22.19,6.97,14.26,0.05,56.7
2023-04-01,23.81,8.64,15.82,0.0,53.7
2023-04-02,27.81,10.2,18.6,0.0,39.24
2023-04-03,31.11,11.17,20.6,0.0,33.75
2023-04-04,31.56,13.17,21.31,0.0,27.98
2023-04-05,26.27,12.62,18.75,0.0,46.24
2023-04-06,27.2,10.34,18.67,0.0,50.35
2023-04-07,33.8,15.18,23.15,0.0,34.44
2023-04-08,34.16,15.77,23.91,0.0,49.16
2023-04-09,30.97,17.17,23.69,0.0,48.55
2023-04-10,29.91,14.84,22.05,0.0,56.05
2023-04-11,23.63,12.5,17.73,1.22,57.22
2023-04-12,19.8,10.29,14.59,1.88,66.16
2023-04-13,25.07,9.64,17.05,0.0,54.68
2023-04-14,28.16,11.3,20.0,0.0,49.79
2023-04-15,30.48,13.83,21.73,0.0,45.6
2023-04-16,31.43,11.47,21.2,0.0,44.73
2023-04-17,34.62,13.75,24.36,0.0,33.4
2023-04-18,36.59,19.37,27.04,0.0,25.27
2023-04-19,35.82,17.8,24.86,0.0,45.91
2023-04-20,27.95,13.84,20.4,0.0,52.89
2023-04-21,27.66,12.04,20.1,0.0,52.66
2023-04-22,30.73,13.15,21.81,0.0,47.22
2023-04-23,30.78,14.2,22.01,0.0,42.89
2023-04-24,31.9,13.69,22.62,0.0,43.38
2023-04-25,31.42,14.3,23.02,0.0,40.57
2023-04-26,32.61,16.34,24.3,0.0,34.14
2023-04-27,33.67,16.06,24.53,0.0,35.84
2023-04-28,27.36,14.68,20.37,0.0,54.03
2023-04-29,25.35,12.23,18.24,0.0,50.81
2023-04-30,26.16,10.83,18.54,0.0,48.41
2023-05-01,28.89,11.68,20.37,0.0,39.18
2023-05-02,31.47,13.09,22.05,0.24,44.55
2023-05-03,33.1,14.35,23.05,0.03,40.41
2023-05-04,36.93,15.28,26.12,0.15,37.22
2023-05-05,31.08,17.77,24.65,0.0,32.18
2023-05-06,30.02,16.03,22.82,0.0,50.01
2023-05-07,28.71,14.99,21.74,0.0,54.31
2023-05-08,28.54,14.87,21.61,0.0,52.69
2023-05-09,30.25,14.53,22.37,0.0,51.79
2023-05-10,33.32,15.16,24.09,0.0,45.54
2023-05-11,38.04,17.98,27.8,0.0,36.49
2023-05-12,32.93,17.87,24.63,0.05,49.53
2023-05-13,31.29,14.7,22.92,0.08,51.38
2023-05-14,32.91,14.48,23.38,0.07,47.59
2023-05-15,34.95,15.21,24.45,0.03,46.92
2023-05-16,37.7,16.34,26.92,0.01,43.39
2023-05-17,38.39,19.34,28.2,0.0,34.66
2023-05-18,31.28,15.93,23.11,0.0,50.69
2023-05-19,30.1,14.54,22.27,0.0,50.09
2023-05-20,32.23,15.21,23.8,0.0,47.55
2023-05-21,38.14,18.55,28.74,0.0,27.02
2023-05-22,33.76,19.31,25.93,0.0,37.06
2023-05-23,35.01,17.88,26.75,0.0,37.67
2023-05-24,34.53,19.11,26.76,0.0,39.16
2023-05-25,35.33,17.91,26.72,0.0,38.35
2023-05-26,34.15,20.85,27.04,0.0,38.5
2023-05-27,36.86,22.8,29.15,0.15,31.17
2023-05-28,33.33,21.43,26.87,0.0,42.78
2023-05-29,33.01,18.26,25.99,0.0,45.66
2023-05-30,34.81,19.87,27.66,0.0,41.72
2023-05-31,38.35,21.1,29.56,0.0,32.28
2023-06-01,41.87,24.9,31.35,0.38,31.39
2023-06-02,42.56,25.55,33.9,0.0,24.14
2023-06-03,36.21,22.44,28.56,0.0,42.68
2023-06-04,35.94,19.27,26.92,0.0,43.33
2023-06-05,34.78,18.58,26.21,0.0,39.49
2023-06-06,35.52,18.42,26.87,0.0,38.25
2023-06-07,38.35,20.9,29.98,0.01,36.42
2023-06-08,40.39,24.74,31.46,0.01,33.83
2023-06-09,39.14,24.76,31.49,0.0,31.55
2023-06-10,36.83,21.43,28.98,0.16,46.62
2023-06-11,36.47,21.68,28.96,0.0,33.66
2023-06-12,36.79,22.35,29.62,0.45,34.41
2023-06-13,40.47,23.4,31.59,0.03,37.18
2023-06-14,35.45,21.18,27.84,0.07,46.86
2023-06-15,36.76,19.83,28.31,0.0,44.38
2023-06-16,40.65,20.0,31.38,0.0,29.01
2023-06-17,37.63,24.13,30.02,0.0,39.41
2023-06-18,36.31,21.41,28.57,0.0,38.58
2023-06-19,34.07,19.72,26.74,0.0,46.03
2023-06-20,35.46,19.67,27.36,0.0,50.74
2023-06-21,36.8,20.2,28.37,0.0,49.04
2023-06-22,36.32,20.72,28.18,0.0,49.95
2023-06-23,38.88,20.15,29.92,0.0,43.71
2023-06-24,39.06,21.12,30.53,0.0,38.24
2023-06-25,38.23,20.98,29.34,0.0,34.72
2023-06-26,37.11,19.84,28.56,0.0,28.96
2023-06-27,37.82,21.4,29.48,0.0,41.05
2023-06-28,38.03,21.08,29.64,0.0,44.18
2023-06-29,37.59,21.37,29.47,0.0,43.33
2023-06-30,38.36,20.4,29.38,0.0,46.46
2023-07-01,38.4,21.6,29.33,0.0,45.83
2023-07-02,38.9,20.91,29.66,0.0,39.02
2023-07-03,41.27,20.49,31.39,0.0,32.22
2023-07-04,39.95,24.08,31.83,0.0,32.94
2023-07-05,36.9,21.87,29.06,0.0,47.52
2023-07-06,37.36,21.13,29.48,0.0,47.65
2023-07-07,38.88,22.28,30.43,0.0,44.12
2023-07-08,39.71,22.73,30.48,0.0,51.12
2023-07-09,38.33,22.03,29.39,0.0,52.37
2023-07-10,38.51,21.9,30.04,0.0,48.76
2023-07-11,38.53,23.11,30.42,0.0,46.7
