date,temp_mean,temp_max,temp_min,precipitation,humidity,wind_speed,cloud_cover
2022-01-01,12.2,18.29,7.63,0.51,76.69,1.46,29.74
2022-01-02,12.18,18.83,6.79,0.33,80.83,1.77,40.34
2022-01-03,12.91,19.76,8.35,0.4,79.94,1.79,18.9
2022-01-04,12.02,18.59,7.9,0.15,75.24,1.73,20.97
2022-01-05,12.67,19.56,7.71,0.0,62.56,0.94,3.95
2022-01-06,13.52,20.33,6.76,0.04,64.18,1.17,49.96
2022-01-07,12.99,19.52,6.94,2.3,62.75,1.23,52.05
2022-01-08,13.44,21.61,8.1,0.0,50.9,1.32,37.61
2022-01-09,11.02,15.94,6.75,0.0,57.85,4.35,18.24
2022-01-10,10.59,17.62,5.5,0.04,57.88,4.3,5.1
2022-01-11,11.45,18.99,5.96,0.0,45.08,4.33,1.52
2022-01-12,11.89,18.43,7.71,0.0,41.09,3.19,58.09
2022-01-13,12.09,18.44,7.24,0.44,66.25,3.01,47.99
2022-01-14,11.09,15.96,6.57,0.44,73.44,3.01,60.11
2022-01-15,9.82,15.73,5.51,0.03,68.17,3.26,60.67
2022-01-16,9.84,15.56,6.24,5.37,73.04,3.2,63.67
2022-01-17,9.88,15.15,5.04,5.84,71.53,2.9,47.77
2022-01-18,8.14,15.24,3.37,0.0,62.45,1.53,15.66
2022-01-19,8.49,14.7,4.45,7.16,64.86,3.74,60.72
2022-01-20,7.62,14.6,2.11,0.0,65.74,1.76,38.72
2022-01-21,8.15,15.83,2.34,0.0,62.79,1.68,12.52
2022-01-22,8.61,15.86,3.51,0.0,63.21,1.7,2.25
2022-01-23,9.29,15.95,3.96,0.7,74.17,3.19,38.67
2022-01-24,8.75,14.27,3.62,1.37,71.19,1.61,39.61
2022-01-25,7.71,15.31,1.14,0.0,62.53,2.37,2.88
2022-01-26,6.67,11.79,3.45,3.64,79.41,3.94,53.01
2022-01-27,7.09,13.03,2.77,2.25,80.65,3.24,56.21
2022-01-28,8.99,15.46,4.81,1.51,72.4,2.09,71.94
2022-01-29,9.3,15.81,4.34,0.06,74.16,1.77,29.42
2022-01-30,10.43,17.79,5.92,0.0,63.16,2.24,52.06
2022-01-31,10.01,15.48,5.01,0.8,75.24,3.6,59.3
2022-02-01,11.78,18.51,6.79,0.24,68.51,1.84,40.64
2022-02-02,11.76,19.27,5.95,0.0,51.76,2.35,24.7
2022-02-03,10.74,17.37,6.57,0.01,54.78,4.56,34.68
2022-02-04,9.8,14.69,5.59,0.93,74.44,4.58,52.01
2022-02-05,9.81,16.15,5.82,0.17,75.82,2.56,53.77
2022-02-06,11.57,19.02,6.59,0.01,68.41,1.46,21.81
2022-02-07,12.42,21.03,6.13,0.0,55.88,1.42,0.62
2022-02-08,13.55,22.64,6.6,0.0,47.68,1.67,1.66
2022-02-09,10.44,17.36,5.24,0.12,64.58,3.44,29.96
2022-02-10,9.88,16.44,5.12,0.0,71.66,3.28,60.06
2022-02-11,11.17,18.55,5.63,0.0,72.86,1.97,27.32
2022-02-12,12.27,21.13,5.69,0.0,72.38,3.04,2.05
2022-02-13,12.69,21.83,5.75,0.0,74.37,2.32,36.88
2022-02-14,11.99,19.54,5.65,0.0,73.5,2.57,28.3
2022-02-15,11.97,19.37,6.96,0.24,74.04,2.95,30.33
2022-02-16,11.97,19.55,5.4,0.0,69.79,2.49,48.23
2022-02-17,11.39,16.84,7.0,0.17,80.27,2.13,81.24
2022-02-18,12.63,18.71,6.92,2.82,78.6,2.44,79.15
2022-02-19,11.38,16.65,6.67,4.22,77.01,3.53,53.03
2022-02-20,12.61,20.46,6.37,0.0,68.86,1.27,9.21
2022-02-21,15.11,22.7,8.96,0.0,57.52,1.18,44.29
2022-02-22,16.82,23.75,9.18,0.0,44.71,1.42,51.41
2022-02-23,16.41,25.15,9.76,0.01,47.24,2.24,64.19
2022-02-24,11.5,17.01,6.94,1.83,71.97,3.65,27.48
2022-02-25,12.18,17.98,7.81,0.02,71.29,4.17,68.48
2022-02-26,12.24,19.81,6.1,0.0,68.08,2.0,42.12
