Date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,WD2M,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,PS,QV2M,T2MDEW,T2MWET,Governorate
2015-01-01,9.89,15.67,5.04,37.82,0.0,2.79,285.0,2.8922,7.0942,1.2185,2.9254,100.55,2.73,-4.47,2.71,Cairo
2015-01-02,9.47,17.58,3.27,50.61,0.0,1.77,307.2,3.3962,7.0606,1.4947,3.6703,100.72,3.62,-0.81,4.33,Cairo
2015-01-03,9.08,16.73,3.47,41.4,0.01,2.76,286.9,3.6372,6.9072,1.5614,3.7114,100.68,2.76,-4.63,2.23,Cairo
2015-01-04,10.1,17.62,4.9,64.28,0.1,2.76,268.2,3.2117,7.1801,1.4213,3.7968,100.56,4.71,2.85,6.48,Cairo
2015-01-05,10.97,17.23,5.42,65.41,0.01,5.1,219.5,3.0482,7.6934,1.3514,3.4824,100.05,5.2,4.34,7.66,Cairo
2015-01-06,10.91,14.88,6.7,48.23,0.26,6.65,242.1,2.9189,7.746,1.225,3.1164,99.89,3.82,-0.17,5.37,Cairo
2015-01-07,7.76,11.75,4.86,62.54,2.97,6.17,256.5,1.6908,7.7381,0.7574,3.6139,100.36,4.06,0.85,4.31,Cairo
2015-01-08,8.17,13.35,3.99,68.79,0.32,3.84,301.7,1.9656,7.758,0.8604,3.877,101.03,4.41,2.1,5.13,Cairo
2015-01-09,8.56,13.2,4.3,64.7,0.34,4.2,320.4,2.5906,7.5528,1.1088,3.9235,100.96,4.31,1.76,5.16,Cairo
2015-01-10,8.26,13.98,2.25,67.62,0.05,2.97,256.8,2.989,7.4633,1.2972,3.9221,100.81,4.38,2.06,5.16,Cairo
2015-01-11,9.9,14.72,6.77,83.9,0.78,2.52,248.5,3.1742,7.7155,1.4191,3.828,100.74,6.38,7.31,8.61,Cairo
2015-01-12,12.02,19.58,5.31,62.04,0.0,1.25,140.5,3.9989,6.9962,1.7611,4.0121,100.79,4.94,3.54,7.78,Cairo
2015-01-13,12.05,18.4,7.49,58.63,0.01,2.75,223.8,2.3926,8.2478,1.0843,3.5371,100.35,5.03,3.79,7.92,Cairo
2015-01-14,9.77,15.63,3.59,49.24,0.07,3.37,229.9,3.2669,7.5982,1.4234,3.541,100.37,3.52,-1.13,4.32,Cairo
2015-01-15,11.64,17.74,7.96,66.61,0.12,2.98,262.6,3.4462,7.5629,1.5262,3.7296,100.31,5.46,5.02,8.33,Cairo
2015-01-16,11.31,17.98,7.05,73.16,0.09,2.43,255.3,3.293,7.4726,1.4494,3.8724,100.49,5.8,5.94,8.63,Cairo
2015-01-17,11.08,18.27,6.2,76.3,0.18,2.35,313.9,3.1298,7.6512,1.3994,4.0966,100.61,5.98,6.36,8.72,Cairo
2015-01-18,11.78,19.95,6.12,71.99,0.02,2.13,54.0,3.9458,7.135,1.7436,4.1479,100.91,5.92,6.25,9.01,Cairo
2015-01-19,12.05,20.89,7.15,69.43,0.06,2.29,82.5,3.7754,6.9478,1.6392,4.187,100.69,5.68,5.52,8.79,Cairo
2015-01-20,14.56,23.5,7.53,40.3,0.0,1.09,135.8,4.2103,6.6578,1.7998,4.2242,100.4,3.78,-0.11,7.23,Cairo
2015-01-21,15.05,25.18,7.74,31.07,0.0,2.46,203.6,4.1914,6.9034,1.7935,4.2343,100.42,3.11,-2.72,6.16,Cairo
2015-01-22,17.68,26.63,12.89,25.48,0.0,1.96,80.2,4.1878,6.8184,1.7698,4.2802,100.36,3.01,-3.14,7.27,Cairo
2015-01-23,16.93,24.08,12.96,25.76,0.0,1.9,188.1,3.4694,7.2886,1.493,4.2943,99.93,2.96,-3.43,6.75,Cairo
2015-01-24,14.81,22.45,8.86,38.38,0.0,1.54,351.8,3.4176,7.6534,1.4976,4.061,99.88,3.85,-0.2,7.3,Cairo
2015-01-25,14.76,22.98,8.8,61.03,0.0,1.92,16.5,3.5952,7.7419,1.5782,4.031,100.02,5.75,5.43,10.1,Cairo
2015-01-26,14.72,19.24,11.23,67.05,0.0,3.27,44.4,2.4005,8.2253,1.0682,4.0812,100.24,6.76,7.93,11.32,Cairo
2015-01-27,15.33,22.7,10.42,62.18,0.0,2.14,45.8,3.3802,7.7722,1.4983,4.0193,99.87,6.42,7.31,11.32,Cairo
2015-01-28,11.93,18.48,5.73,47.89,0.0,2.19,276.8,4.3958,6.9794,1.8835,4.4767,99.9,3.81,-1.04,5.44,Cairo
