time,temperature_2m_mean,precipitation_sum
2024-01-01,15.8,2.3
2024-01-02,18.1,0.7
2024-01-03,17.4,0.0
2024-01-04,15.9,0.0
2024-01-05,16.6,0.0
2024-01-06,16.6,0.0
2024-01-07,16.6,0.0
2024-01-08,16.0,0.0
2024-01-09,15.1,0.0
2024-01-10,15.6,1.0
2024-01-11,16.0,0.9
2024-01-12,16.4,0.0
2024-01-13,14.6,1.9
2024-01-14,15.0,0.4
2024-01-15,14.2,2.4
2024-01-16,14.0,0.0
2024-01-17,14.7,0.0
2024-01-18,15.4,0.2
2024-01-19,14.9,0.0
2024-01-20,16.3,0.0
2024-01-21,18.7,0.0
2024-01-22,17.5,1.7
2024-01-23,16.5,0.7
2024-01-24,14.8,3.5
2024-01-25,14.8,2.0
2024-01-26,15.8,4.5
2024-01-27,15.8,0.0
2024-01-28,13.6,6.3
2024-01-29,12.6,8.9
2024-01-30,12.7,4.6
2024-01-31,11.0,3.4
2024-02-01,12.2,1.9
2024-02-02,12.7,7.6
2024-02-03,13.4,0.8
2024-02-04,12.7,1.3
2024-02-05,14.5,2.1
2024-02-06,16.2,0.0
2024-02-07,15.0,0.0
2024-02-08,14.3,0.0
2024-02-09,14.1,0.0
2024-02-10,15.2,0.2
2024-02-11,14.3,0.0
2024-02-12,16.5,0.0
2024-02-13,16.3,2.9
2024-02-14,14.5,5.5
2024-02-15,13.1,5.9
2024-02-16,13.3,6.9
2024-02-17,14.5,7.0
2024-02-18,14.4,2.1
2024-02-19,16.1,0.1
2024-02-20,15.3,0.0
2024-02-21,14.9,0.0
2024-02-22,15.1,0.0
2024-02-23,15.1,0.0
2024-02-24,15.7,0.9
2024-02-25,14.8,0.0
2024-02-26,16.1,0.0
2024-02-27,16.0,0.4
2024-02-28,16.1,0.0
2024-02-29,17.5,0.0
2024-03-01,18.9,0.0
2024-03-02,17.9,0.0
2024-03-03,17.1,0.0
2024-03-04,15.4,0.0
2024-03-05,17.1,0.0
2024-03-06,17.1,0.2
2024-03-07,16.7,0.1
2024-03-08,15.5,0.0
2024-03-09,15.8,0.0
2024-03-10,16.0,0.0
2024-03-11,16.3,0.0
2024-03-12,16.5,0.0
2024-03-13,16.6,0.0
2024-03-14,16.6,0.0
2024-03-15,16.1,0.0
2024-03-16,15.5,0.8
2024-03-17,16.7,0.4
2024-03-18,15.8,12.5
2024-03-19,16.8,1.8
2024-03-20,17.3,0.0
2024-03-21,15.7,0.0
2024-03-22,16.0,0.0
2024-03-23,15.1,0.0
2024-03-24,15.0,1.8
2024-03-25,15.8,0.0
2024-03-26,18.6,0.0
2024-03-27,20.4,0.0
2024-03-28,21.5,0.3
2024-03-29,18.8,0.0
2024-03-30,19.3,0.0
2024-03-31,20.6,0.0
2024-04-01,21.0,0.0
2024-04-02,20.4,0.0
2024-04-03,19.7,0.0
2024-04-04,19.8,0.0
2024-04-05,19.0,0.0
2024-04-06,19.7,0.0
2024-04-07,20.1,0.0
2024-04-08,17.8,6.2
2024-04-09,18.2,1.5
2024-04-10,18.7,0.1
2024-04-11,18.3,0.0
2024-04-12,18.6,0.0
2024-04-13,19.8,0.0
2024-04-14,20.2,0.0
2024-04-15,20.9,0.0
2024-04-16,21.3,0.0
2024-04-17,25.9,0.0
2024-04-18,21.1,0.0
2024-04-19,18.9,0.0
2024-04-20,19.4,0.0
2024-04-21,19.7,0.0
2024-04-22,22.0,0.0
2024-04-23,27.5,0.0
2024-04-24,28.7,0.0
2024-04-25,21.6,0.0
2024-04-26,20.1,0.0
2024-04-27,19.4,0.0
2024-04-28,19.9,0.0
2024-04-29,19.8,0.0
2024-04-30,20.7,0.0
2024-05-01,20.7,0.0
2024-05-02,20.9,0.0
2024-05-03,20.7,0.0
2024-05-04,20.9,0.0
2024-05-05,19.6,0.6
2024-05-06,20.1,0.0
2024-05-07,19.9,0.0
2024-05-08,19.9,0.0
2024-05-09,23.2,0.0
2024-05-10,22.3,0.0
2024-05-11,21.0,0.0
2024-05-12,20.5,0.6
2024-05-13,21.0,0.0
2024-05-14,21.1,0.0
2024-05-15,20.9,0.0
2024-05-16,23.4,0.0
2024-05-17,26.0,0.0
2024-05-18,27.0,0.0
2024-05-19,27.8,0.0
2024-05-20,27.8,0.0
2024-05-21,26.0,0.0
2024-05-22,26.5,0.0
2024-05-23,24.6,0.0
2024-05-24,23.4,0.0
2024-05-25,23.7,0.0
2024-05-26,26.5,0.0
2024-05-27,23.8,0.0
2024-05-28,22.3,0.0
2024-05-29,22.3,0.0
2024-05-30,22.6,0.0
2024-05-31,26.0,0.0
2024-06-01,30.3,0.0
2024-06-02,27.3,0.0
2024-06-03,25.5,0.0
2024-06-04,25.2,0.0
2024-06-05,26.2,0.0
2024-06-06,27.2,0.0
2024-06-07,27.5,0.0
2024-06-08,25.8,0.0
2024-06-09,26.2,0.0
2024-06-10,25.5,0.0
2024-06-11,25.7,0.0
2024-06-12,27.0,0.0
2024-06-13,28.5,0.0
2024-06-14,29.2,0.0
2024-06-15,28.6,0.0
2024-06-16,27.1,0.0
2024-06-17,26.2,0.0
2024-06-18,26.6,0.0
2024-06-19,26.4,0.0
2024-06-20,26.2,0.0
2024-06-21,27.2,0.0
2024-06-22,27.9,0.0
2024-06-23,27.9,0.0
2024-06-24,27.5,0.0
2024-06-25,27.0,0.0
2024-06-26,27.3,0.0
2024-06-27,27.6,0.0
2024-06-28,27.9,0.0
2024-06-29,27.5,0.0
2024-06-30,27.9,0.0
2024-07-01,27.6,0.0
2024-07-02,27.4,0.0
2024-07-03,28.0,0.0
2024-07-04,27.4,0.0
2024-07-05,26.6,0.0
2024-07-06,27.4,0.0
2024-07-07,27.7,0.0
2024-07-08,27.9,0.0
2024-07-09,28.2,0.0
2024-07-10,28.3,0.0
2024-07-11,29.2,0.0
2024-07-12,29.1,0.0
2024-07-13,28.6,0.0
2024-07-14,28.9,0.0
2024-07-15,28.9,0.0
2024-07-16,27.6,0.0
2024-07-17,27.7,0.0
2024-07-18,27.8,0.0
2024-07-19,28.3,0.0
2024-07-20,29.2,0.0
2024-07-21,29.5,0.0
2024-07-22,29.6,0.0
2024-07-23,29.0,0.0
2024-07-24,29.0,0.0
2024-07-25,28.7,0.0
2024-07-26,29.3,0.0
2024-07-27,29.1,0.0
2024-07-28,29.1,0.0
2024-07-29,28.4,0.0
