time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum
2023-01-01,14.5,9.6,12.0,11.0
2023-01-02,14.0,10.4,11.9,13.9
2023-01-03,17.3,11.4,13.7,4.8
2023-01-04,18.8,12.4,14.9,8.2
2023-01-05,14.7,7.5,11.2,0.0
2023-01-06,13.5,5.8,9.2,0.0
2023-01-07,14.2,5.7,9.5,0.0
2023-01-08,17.1,5.6,11.1,0.4
2023-01-09,21.2,12.8,15.5,2.9
2023-01-10,13.2,7.5,10.4,0.0
2023-01-11,12.4,6.5,9.0,0.0
2023-01-12,13.4,6.5,9.5,0.7
2023-01-13,18.9,7.4,12.2,0.0
2023-01-14,20.7,11.6,15.1,0.4
2023-01-15,16.6,9.4,12.7,0.0
2023-01-16,21.5,11.1,15.0,8.3
2023-01-17,16.4,9.1,13.5,1.4
2023-01-18,14.0,6.0,9.3,0.0
2023-01-19,14.6,4.4,8.8,0.0
2023-01-20,16.6,6.0,10.6,0.0
2023-01-21,19.8,8.5,13.2,0.0
2023-01-22,19.6,11.3,14.6,0.6
2023-01-23,19.7,11.4,14.7,0.7
2023-01-24,18.0,9.6,13.1,1.0
2023-01-25,16.3,9.9,12.4,0.3
2023-01-26,16.0,9.6,12.5,0.3
2023-01-27,14.7,6.7,10.2,0.0
2023-01-28,17.5,5.7,10.8,0.0
2023-01-29,22.4,9.6,14.7,0.0
2023-01-30,25.0,11.0,16.5,0.0
2023-01-31,27.1,15.9,21.0,0.0
2023-02-01,20.6,10.6,15.3,0.0
2023-02-02,18.5,7.6,12.5,0.0
2023-02-03,16.1,5.3,10.5,0.0
2023-02-04,24.2,6.4,13.6,0.0
2023-02-05,21.5,7.6,14.1,0.0
2023-02-06,25.6,12.9,18.5,0.0
2023-02-07,18.7,10.3,14.5,0.0
2023-02-08,18.1,5.7,11.6,0.0
2023-02-09,16.1,6.1,11.1,0.0
2023-02-10,19.9,6.1,12.7,0.0
2023-02-11,26.1,11.2,18.0,0.0
2023-02-12,26.0,13.9,20.6,0.0
2023-02-13,17.4,10.1,12.7,3.0
2023-02-14,20.1,9.0,12.7,7.3
2023-02-15,15.5,7.1,10.6,0.0
2023-02-16,14.5,5.5,9.5,0.0
2023-02-17,11.8,7.5,9.1,0.0
2023-02-18,11.9,5.4,7.8,0.0
2023-02-19,16.8,5.7,10.7,0.0
2023-02-20,21.7,6.9,13.4,0.0
2023-02-21,27.2,12.6,19.1,0.0
2023-02-22,26.7,9.6,17.6,0.0
2023-02-23,27.9,14.3,20.2,0.0
2023-02-24,24.4,9.7,17.0,0.0
2023-02-25,29.0,12.7,20.4,0.0
2023-02-26,28.6,14.8,21.5,0.0
2023-02-27,26.1,12.2,19.3,0.0
2023-02-28,24.5,12.9,18.5,0.0
2023-03-01,24.8,13.4,18.9,0.0
2023-03-02,27.5,14.5,20.8,0.0
2023-03-03,30.6,16.6,23.2,0.0
2023-03-04,30.3,18.1,24.1,0.0
2023-03-05,32.3,16.3,24.9,0.0
2023-03-06,32.8,21.1,25.4,0.0
2023-03-07,33.2,19.3,26.0,0.0
2023-03-08,28.1,18.1,21.5,1.7
2023-03-09,25.3,17.1,21.3,0.0
2023-03-10,23.0,13.6,17.1,2.7
2023-03-11,23.9,11.3,17.4,0.0
2023-03-12,18.5,13.3,16.0,27.5
2023-03-13,23.0,11.6,16.8,0.0
2023-03-14,26.6,14.5,19.5,0.0
2023-03-15,24.6,13.7,18.6,0.0
2023-03-16,22.9,11.4,16.3,0.0
2023-03-17,27.8,12.6,19.1,0.0
2023-03-18,29.2,16.0,21.8,0.4
2023-03-19,26.8,14.5,20.4,0.0
2023-03-20,25.1,12.0,18.8,0.0
2023-03-21,22.4,10.6,16.6,0.0
2023-03-22,23.2,10.5,16.8,0.0
2023-03-23,24.4,10.8,17.8,0.0
2023-03-24,29.0,14.8,21.7,0.0
2023-03-25,31.7,18.7,25.2,0.3
2023-03-26,26.0,16.2,20.6,3.6
2023-03-27,24.7,13.4,19.0,0.0
2023-03-28,25.2,13.5,19.4,0.0
2023-03-29,27.8,13.2,20.6,0.0
2023-03-30,33.3,18.0,22.9,4.1
